Name,Fulladdress,Street,Municipality,Categories,Phone,Phones,Claimed,Review Count,Average Rating,Review URL,Google Maps URL,Latitude,Longitude,Website,Domain,Opening hours,Featured image,Cid,Place Id,Kgmid,Plus code,Google Knowledge URL,Email,Social Medias,Facebook,Instagram,Twitter,Yelp
La Cheetah Club,"73 Queen St, Glasgow G1 3BZ, Великобритания",73 Queen St,Glasgow,Ночной клуб,+44 141 221 1379,"0141 221 1379, +44 141 221 1379",YES,62,3.7,https://search.google.com/local/reviews?placeid=ChIJq-QRep9GiEgRkNwBXnsC3Nw&q=night+club+Glasgow+Great+Britain&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=15914597912101903504,55.8594723,-4.252263999999999,http://www.lacheetahclub.co.uk/,lacheetahclub.co.uk,"воскресенье:[11:00–03:00], понедельник:[Закрыто], вторник:[Закрыто], среда:[11:00–03:00], четверг:[11:00–03:00], пятница:[11:00–03:00], суббота:[11:00–03:00]",https://lh5.googleusercontent.com/p/AF1QipOssu8dv54EGZmEeQpKNp0KQreREv98VEhSQeP_=w80-h106-k-no,15914597912101903504,ChIJq-QRep9GiEgRkNwBXnsC3Nw,/g/11b6bqdqb2,9C7QVP5X+Q3,https://www.google.com/search?kgmid=/g/11b6bqdqb2,"info@lacheetahclub.co.uk,info@crudex.co.uk,smithjanetta@aol.com","{""facebook"":""https://www.facebook.com/lacheetahclub/"",""youtube"":""https://www.youtube.com/channel/ucikeqgsbwaiauespjfur8wg"",""twitter"":""https://twitter.com/lacheetahclub""}",https://www.facebook.com/lacheetahclub/,,https://twitter.com/lacheetahclub,
Sub Club,"22 Jamaica St, Glasgow G1 4QD, Великобритания",22 Jamaica St,Glasgow,Ночной клуб,mXfpZ-3KPI2bkdUPrY2GmQ4,,YES,253,4.2,https://search.google.com/local/reviews?placeid=ChIJi07Lu55GiEgRrJfQzqZJc9E&q=night+club+Glasgow+Great+Britain&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=15092487757031839660,55.857881199999994,-4.257239,http://www.subclub.co.uk/,subclub.co.uk,"воскресенье:[Закрыто], понедельник:[Закрыто], вторник:[Закрыто], среда:[Закрыто], четверг:[Закрыто], пятница:[23:00–04:00], суббота:[23:00–04:00]",https://lh5.googleusercontent.com/p/AF1QipOg1KCoIGNTZKUulNS69mMlX_xBs4B55e45ZQZH=w147-h92-k-no,15092487757031839660,ChIJi07Lu55GiEgRrJfQzqZJc9E,/m/04g0tsb,9C7QVP5V+54,https://www.google.com/search?kgmid=/m/04g0tsb,"info@subclub.co.uk,safety@subclub.co.uk,hire@subclub.co.uk,work@subclub.co.uk","{""facebook"":""https://www.facebook.com/subclub/"",""twitter"":""https://twitter.com/subclub"",""instagram"":""https://instagram.com/subclub87/"",""yelp"":""https://www.yelp.com/biz/sub-club-glasgow""}",https://www.facebook.com/subclub/,https://instagram.com/subclub87/,https://twitter.com/subclub,https://www.yelp.com/biz/sub-club-glasgow
Club Tropicana & Venga,"7 Renfield St, Glasgow G2 5EZ, Великобритания",7 Renfield St,Glasgow,"Ночной клуб,Бар",+44 141 248 3411,"0141 248 3411, +44 141 248 3411",YES,245,4.2,https://search.google.com/local/reviews?placeid=ChIJZf5fap5GiEgRvD5AWHsjDkE&q=night+club+Glasgow+Great+Britain&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=4687723274807819964,55.8607972,-4.2571709,https://tropicanaglasgow.co.uk/,tropicanaglasgow.co.uk,"воскресенье:[Закрыто], понедельник:[Закрыто], вторник:[Закрыто], среда:[Закрыто], четверг:[Закрыто], пятница:[21:00–03:00], суббота:[21:00–03:00]",https://lh5.googleusercontent.com/p/AF1QipNkC3ck40yWH9q_xOJ0GtiLFPQlrVHGFjSA1lIR=w138-h92-k-no,4687723274807819964,ChIJZf5fap5GiEgRvD5AWHsjDkE,/g/11bzrp_6n3,9C7QVP6V+84,https://www.google.com/search?kgmid=/g/11bzrp_6n3,"info@tropicanaglasgow.com,data@tropicanaclubs.com","{""youtube"":""https://www.youtube.com/watch?v=lq4wt2deao8"",""facebook"":""https://www.facebook.com/tropicanaglasgow/photos/?ref=page_internal""}",https://www.facebook.com/tropicanaglasgow/photos/?ref=page_internal,,,
Popworld Glasgow,"114 W George St, Glasgow G2 1PS, Великобритания",114 W George St,Glasgow,Ночной клуб,+44 141 332 9724,"0141 332 9724, +44 141 332 9724",YES,137,4.2,https://search.google.com/local/reviews?placeid=ChIJ4X0XgiBEiEgR7X9RS_-fxpo&q=night+club+Glasgow+Great+Britain&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=11152777446058721261,55.862398199999994,-4.2561744,https://www.popworldparty.co.uk/glasgow?utm_source=gmb&utm_medium=organic&utm_campaign=homepage,popworldparty.co.uk,"воскресенье:[Закрыто], понедельник:[Закрыто], вторник:[Закрыто], среда:[Закрыто], четверг:[Закрыто], пятница:[20:00–03:00], суббота:[19:00–03:00]",https://lh5.googleusercontent.com/p/AF1QipOBlXJ3eYJ-NglJkxH5QzzgqfMsp1BjsvtA1GAC=w138-h92-k-no,11152777446058721261,ChIJ4X0XgiBEiEgR7X9RS_-fxpo,/g/1thx85mm,9C7QVP6V+XG,https://www.google.com/search?kgmid=/g/1thx85mm,"Popworld.Glasgow@stonegategroup.co.uk,datarequest@stonegatepubs.com,c.datarequest@stonegatepubs.com,stonegateenquiries@stonegategroup.co.uk,datarequest@stonegategroup.co.uk,customer.feedback@stonegategroup.co.uk,customer.feedback@stonegatepubs.com,appsupport@stonegatepubs.com,hello@mixr.co.uk","{""facebook"":""https://facebook.com/stonegatepubs"",""instagram"":""https://www.instagram.com/popworld.glasgow"",""twitter"":""https://twitter.com/stonegate_group"",""spotify"":""https://open.spotify.com/user/popworldbaby?si=f36b12027a224e83&nd=1&dlsi=aa5703709a004d1f"",""linkedin"":""https://www.linkedin.com/company/stonegategroup""}",https://facebook.com/stonegatepubs,https://www.instagram.com/popworld.glasgow,https://twitter.com/stonegate_group,
142B Lounge Nightclub,"142b St Vincent St, Glasgow G2 5LA, Великобритания",142b St Vincent St,Glasgow,"Ночной клуб,Танцевальный клуб,Диско-клуб,Ресторан восточноафриканской кухни,Комната отдыха,Бар,Ресторан североафриканской кухни,Ресторан южноафриканской кухни,Ресторан западноафриканской кухни",+44 7500 875755,"07500 875755, +44 7500 875755",YES,102,4.4,https://search.google.com/local/reviews?placeid=ChIJX0Mp2VhHiEgRz8AoZqwZpWs&q=night+club+Glasgow+Great+Britain&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=7756634161454563535,55.8618664,-4.2585657,http://142blounge.com/,142blounge.com,"воскресенье:[20:00–03:00], понедельник:[Закрыто], вторник:[Закрыто], среда:[Закрыто], четверг:[20:00–03:00], пятница:[20:00–03:00], суббота:[20:00–03:00]",https://lh5.googleusercontent.com/p/AF1QipO7xzLyC-bXZlyF0uyLeb1-Ykupfd0hdf4JaK6z=w122-h92-k-no,7756634161454563535,ChIJX0Mp2VhHiEgRz8AoZqwZpWs,/g/11tnvzh_dv,9C7QVP6R+PH,https://www.google.com/search?kgmid=/g/11tnvzh_dv,,"{""instagram"":""https://www.instagram.com/142blounge/"",""tiktok"":""https://www.tiktok.com/@142blounge"",""facebook"":""https://www.facebook.com/profile.php?id=100089046671047""}",https://www.facebook.com/profile.php?id=100089046671047,https://www.instagram.com/142blounge/,,
Polo Lounge,"84 Wilson St, Glasgow G1 1UZ, Великобритания",84 Wilson St,Glasgow,"Гей- и лесби-клуб,Гей-бар",+44 141 559 6593,"0141 559 6593, +44 141 559 6593",YES,1277,3.8,https://search.google.com/local/reviews?placeid=ChIJCwdiv6FGiEgRn65jxPAldPE&q=night+club+Glasgow+Great+Britain&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=17398572976456314527,55.8589043,-4.2493507,http://www.pologlasgow.co.uk/,pologlasgow.co.uk,"воскресенье:[21:00–03:00], понедельник:[21:00–03:00], вторник:[21:00–03:00], среда:[21:00–04:00], четверг:[21:00–03:00], пятница:[19:00–04:00], суббота:[19:00–04:00]",https://lh5.googleusercontent.com/p/AF1QipOXilOF6ZKeL2PzB-4R9o-qtrvBGo7T4OWf7Cre=w138-h92-k-no,17398572976456314527,ChIJCwdiv6FGiEgRn65jxPAldPE,/g/1hf2rhxx2,9C7QVQ52+H7,https://www.google.com/search?kgmid=/g/1hf2rhxx2,"media@scotsman.group,info@pologlasgow.co.uk","{""facebook"":""https://facebook.com/thepololounge"",""instagram"":""https://www.instagram.com/pologlasgow/"",""yelp"":""https://www.yelp.com/biz/the-polo-lounge-glasgow-2"",""twitter"":""https://twitter.com/g1group"",""linkedin"":""https://www.linkedin.com/company/g1-group-plc""}",https://facebook.com/thepololounge,https://www.instagram.com/pologlasgow/,https://twitter.com/g1group,https://www.yelp.com/biz/the-polo-lounge-glasgow-2
Cathouse Rock Club,"15 Union St, Glasgow G1 3RB, Великобритания",15 Union St,Glasgow,"Ночной клуб,Бар",+44 141 248 6606,"0141 248 6606, +44 141 248 6606",YES,406,3.9,https://search.google.com/local/reviews?placeid=ChIJCUtpk55GiEgRRSvXVKLx-fY&q=night+club+Glasgow+Great+Britain&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=17796521082041609029,55.858803699999996,-4.257007199999999,https://cathouse.co.uk/,cathouse.co.uk,"воскресенье:[23:00–03:00], понедельник:[Закрыто], вторник:[Закрыто], среда:[23:00–03:00], четверг:[23:00–03:00], пятница:[22:30–03:00], суббота:[22:30–04:00]",https://lh5.googleusercontent.com/p/AF1QipOfwHej13GpXkW01KQk7NNr7V9NuQ_3_UFz_Koz=w138-h92-k-no,17796521082041609029,ChIJCUtpk55GiEgRRSvXVKLx-fY,/m/02nzfz,9C7QVP5V+G5,https://www.google.com/search?kgmid=/m/02nzfz,"cathouseall@hfents.com,info@hfents.com,garageall@hfents.com","{""facebook"":""https://www.facebook.com/cathouserocks"",""twitter"":""https://twitter.com/garageglasgow"",""instagram"":""https://www.instagram.com/thegarageglasgow/"",""youtube"":""https://www.youtube.com/channel/ucqixhz90uzmpjfmmvw60v7a"",""spotify"":""https://open.spotify.com/user/mfqtfe5obe8lk2u1utj0wsmsl?si=8tg3rqwistaod4a4gogykw"",""linkedin"":""https://www.linkedin.com/company/the-garage-glasgow/"",""pinterest"":""https://www.pinterest.com/holdfastentertainment/""}",https://www.facebook.com/cathouserocks,https://www.instagram.com/thegarageglasgow/,https://twitter.com/garageglasgow,
Saint Judes After Dark,"190 Bath St, Glasgow G2 4HG, Великобритания",190 Bath St,Glasgow,"Ночной клуб,Место проведения мероприятий",+44 141 352 8800,"0141 352 8800, +44 141 352 8800",YES,23,5,https://search.google.com/local/reviews?placeid=ChIJv8wcID1FiEgRvehyQ9XgEiU&q=night+club+Glasgow+Great+Britain&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=2671444735548385469,55.864686799999994,-4.2625144,https://saintjudesad.com/,saintjudesad.com,"воскресенье:[Закрыто], понедельник:[Закрыто], вторник:[Закрыто], среда:[23:00–03:00], четверг:[Закрыто], пятница:[23:00–03:00], суббота:[23:00–03:00]",https://lh5.googleusercontent.com/p/AF1QipM3Mhlfk8B8agh6QVigMlp4Vp2DRLPjqAqXrxAD=w80-h120-k-no,2671444735548385469,ChIJv8wcID1FiEgRvehyQ9XgEiU,/g/11tryf9w9q,9C7QVP7P+VX,https://www.google.com/search?kgmid=/g/11tryf9w9q,bookings@saintjudes.com,"{""instagram"":""https://www.instagram.com/saintjudesgla/"",""tiktok"":""https://www.tiktok.com/@saintjudesafterdark?_t=8vfleozpwhk&_r=1"",""facebook"":""https://www.facebook.com/saintjudesgla/"",""twitter"":""https://twitter.com/stjudesglasgow""}",https://www.facebook.com/saintjudesgla/,https://www.instagram.com/saintjudesgla/,https://twitter.com/stjudesglasgow,
Buff Club,"142 Bath Ln, Glasgow G2 4SQ, Великобритания",142 Bath Ln,Glasgow,Ночной клуб,+44 141 248 1777,"0141 248 1777, +44 141 248 1777",YES,146,3.2,https://search.google.com/local/reviews?placeid=ChIJRbplOSdEiEgR65ScWqJ11e8&q=night+club+Glasgow+Great+Britain&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=17281848485269509355,55.864092,-4.261151,https://www.instagram.com/thebuffclub,instagram.com,"воскресенье:[Закрыто], понедельник:[Закрыто], вторник:[Закрыто], среда:[Закрыто], четверг:[23:00–03:00], пятница:[23:00–03:00], суббота:[23:00–03:00]",https://lh5.googleusercontent.com/p/AF1QipOfPTQ8M4NHN6UZ_kSvAwyM7CU6sK3Kyesm1QjX=w132-h92-k-no,17281848485269509355,ChIJRbplOSdEiEgR65ScWqJ11e8,/g/1wb8t88s,9C7QVP7Q+JG,https://www.google.com/search?kgmid=/g/1wb8t88s,,"{""yelp"":""https://www.yelp.com/biz/buff-club-glasgow"",""facebook"":""https://www.facebook.com/thebuffclubglasgow/"",""twitter"":""https://twitter.com/thebuffclub"",""instagram"":""https://instagram.com/thebuffclub""}",https://www.facebook.com/thebuffclubglasgow/,https://instagram.com/thebuffclub,https://twitter.com/thebuffclub,https://www.yelp.com/biz/buff-club-glasgow
Platinum Lace Glasgow,"24 Drury St, Glasgow G2 5AA, Великобритания",24 Drury St,Glasgow,"Ночной клуб,Бар,Клуб для взрослых",+44 7702 019657,"07702 019657, +44 7702 019657",YES,151,4.6,https://search.google.com/local/reviews?placeid=ChIJFQlYOJ5GiEgR3EOKBhVgorE&q=night+club+Glasgow+Great+Britain&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=12799898734360675292,55.861073299999994,-4.2561452,http://www.platinumlace.co.uk/glasgow/,platinumlace.co.uk,"воскресенье:[21:00–04:00], понедельник:[Закрыто], вторник:[21:00–04:00], среда:[21:00–04:00], четверг:[21:00–04:00], пятница:[19:00–04:00], суббота:[19:00–04:00]",https://lh5.googleusercontent.com/p/AF1QipNGtCBJuTq3TTWfL6tUVarc-SAw8wyVqVtmZPCe=w122-h92-k-no,12799898734360675292,ChIJFQlYOJ5GiEgR3EOKBhVgorE,/g/1tfq__q7,9C7QVP6V+CG,https://www.google.com/search?kgmid=/g/1tfq__q7,"datacontroller@platinumlace.co.uk,glasgow@platinumlace.co.uk,brighton@platinumlace.co.uk","{""twitter"":""https://www.twitter.com/platinum_gla"",""facebook"":""https://www.facebook.com/glasgow.platinumlace/"",""instagram"":""https://www.instagram.com/explore/locations/111908138870223/platinum-lace-glasgow/""}",https://www.facebook.com/glasgow.platinumlace/,https://www.instagram.com/explore/locations/111908138870223/platinum-lace-glasgow/,https://www.twitter.com/platinum_gla,
