Name,Fulladdress,Street,Municipality,Categories,Phone,Phones,Claimed,Review Count,Average Rating,Review URL,Google Maps URL,Latitude,Longitude,Website,Domain,Opening hours,Featured image,Cid,Place Id,Kgmid,Plus code,Google Knowledge URL,Email,Social Medias,Facebook,Instagram,Twitter,Yelp
Camel Club,"Byram Ct, Huddersfield HD1 1BS, Великобритания",Byram Ct,Huddersfield,"Ночной клуб,Бар",+44 1484 535303,"01484 535303, +44 1484 535303",NO,99,3.3,https://search.google.com/local/reviews?placeid=ChIJyfVsdHLce0gRzMvJbEVoxD4&q=Huddersfield+night+club&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=4522854573174016972,53.6474228,-1.7828313,http://www.camel-club.co.uk/,camel-club.co.uk,"среда:[23:00–04:30], четверг:[Закрыто], пятница:[23:00–04:30], суббота:[23:00–04:30], воскресенье:[Закрыто], понедельник:[Закрыто], вторник:[Закрыто]",https://lh5.googleusercontent.com/p/AF1QipOlMODtELAKM2mGbhLfP89UjljxOWrbXmPER0os=w80-h106-k-no,4522854573174016972,ChIJyfVsdHLce0gRzMvJbEVoxD4,/g/1tyktyk9,9C5WJ6W8+XV,https://www.google.com/search?kgmid=/g/1tyktyk9,manager@camel-club.co.uk,"{""yelp"":""https://www.yelp.com/biz/camel-club-huddersfield"",""facebook"":""https://l.facebook.com/l.php?u=https%3a%2f%2fwww.instagram.com%2f&h=at0acmkritkkgiwant8488cedg6gf0dm5j665vsxmiqj5fzjlwgafyfdruxa6ei1pujteswn-nzpav6iygdvvmylkpzqc38qsqccdtlr9bwrgytmxrgwxmjzfapu99l-nazp_slklysygyokug5xzg""}",https://l.facebook.com/l.php?u=https%3a%2f%2fwww.instagram.com%2f&h=at0acmkritkkgiwant8488cedg6gf0dm5j665vsxmiqj5fzjlwgafyfdruxa6ei1pujteswn-nzpav6iygdvvmylkpzqc38qsqccdtlr9bwrgytmxrgwxmjzfapu99l-nazp_slklysygyokug5xzg,,,https://www.yelp.com/biz/camel-club-huddersfield
Cleopatra's Lounge Huddersfield,"Registered Office, 48 Kirkgate, Huddersfield HD1 6QE, Великобритания",Registered Office,48 Kirkgate,"Ночной клуб,Бар,Клуб для взрослых",+44 7955 892544,"07955 892544, +44 7955 892544",YES,20,4.4,https://search.google.com/local/reviews?placeid=ChIJa4lTXnbce0gRf__OSdmny1Y&q=Huddersfield+night+club&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=6254277059222110079,53.6469763,-1.779432,https://www.cleopatraslounge.co.uk/,cleopatraslounge.co.uk,"среда:[22:00–04:00], четверг:[22:00–05:00], пятница:[22:00–05:00], суббота:[22:00–05:00], воскресенье:[Закрыто], понедельник:[Закрыто], вторник:[Закрыто]",https://lh5.googleusercontent.com/p/AF1QipPDGRuNEx70D0uYSaDmHl9ckSICJsJY2eMbKOP-=w80-h121-k-no,6254277059222110079,ChIJa4lTXnbce0gRf__OSdmny1Y,/g/1vc_pxr2,9C5WJ6WC+Q6,https://www.google.com/search?kgmid=/g/1vc_pxr2,Jason@cleopatraslounge.co.uk,"{""youtube"":""https://www.youtube.com/channel/ucaf2szdiw3yyrf-lft8cazg/"",""linkedin"":""https://www.linkedin.com/in/jason-armitage-47158165/"",""instagram"":""https://www.instagram.com/cleopatrashuddersfield"",""facebook"":""https://www.facebook.com/cleopatras.huddersfield/"",""twitter"":""https://twitter.com/cleopatrashudds"",""yelp"":""https://www.yelp.com/biz/cleopatras-lounge-huddersfield-huddersfield""}",https://www.facebook.com/cleopatras.huddersfield/,https://www.instagram.com/cleopatrashuddersfield,https://twitter.com/cleopatrashudds,https://www.yelp.com/biz/cleopatras-lounge-huddersfield-huddersfield
Maverick's 80s Lounge,"32 King St, Huddersfield HD1 2QT, Великобритания",32 King St,Huddersfield,"Ночной клуб,Бар",-_DjZ5iaCvWnkdUP5rTg2Qs,,YES,279,3.9,https://search.google.com/local/reviews?placeid=ChIJd1av53Lce0gR6AVEw-qvCXo&q=Huddersfield+night+club&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=8793753170250827240,53.6455841,-1.7801882,http://www.mavericks80slounge.co.uk/huddersfield,mavericks80slounge.co.uk,"среда:[19:00–02:00], четверг:[19:00–04:00], пятница:[19:00–04:00], суббота:[19:00–04:00], воскресенье:[Закрыто], понедельник:[Закрыто], вторник:[Закрыто]",https://lh5.googleusercontent.com/p/AF1QipM-BQWYOdbutGs-V5AT6GbdWpAyyJAR8p5OW5Ne=w138-h92-k-no,8793753170250827240,ChIJd1av53Lce0gR6AVEw-qvCXo,/g/1yh9ttr0c,9C5WJ6W9+6W,https://www.google.com/search?kgmid=/g/1yh9ttr0c,huddersfield@mavericks80slounge.co.uk,"{""facebook"":""https://www.facebook.com/mavericks80slounge/""}",https://www.facebook.com/mavericks80slounge/,,,
"Northern Quarter, Huddersfield","28 - 30 Wood St, Huddersfield HD1 1DU, Великобритания",28 - 30 Wood St,Huddersfield,"Бар,Концертная площадка,Пицца на вынос",-_DjZ5iaCvWnkdUP5rTg2Qs,,YES,199,4.6,https://search.google.com/local/reviews?placeid=ChIJH_tQhG3ce0gRgpTTIRSbfIA&q=Huddersfield+night+club&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=9258445444736062594,53.648270499999995,-1.7822059,http://www.nqhuddersfield.co.uk/,nqhuddersfield.co.uk,"среда:[18:30–00:00], четверг:[17:00–02:00], пятница:[20:00–02:00], суббота:[17:00–22:00], воскресенье:[17:00–21:30], понедельник:[Закрыто], вторник:[Закрыто]",https://lh5.googleusercontent.com/p/AF1QipPBvHTMXmkMJoEKhmXjef_9i-Dc-feO8aXhUxXn=w122-h92-k-no,9258445444736062594,ChIJH_tQhG3ce0gRgpTTIRSbfIA,/g/11f35b88tp,9C5WJ6X9+84,https://www.google.com/search?kgmid=/g/11f35b88tp,"spiraspaces@gmail.com,nqhuddevents@gmail.com","{""facebook"":""https://www.facebook.com/northernquarterhuddersfield/"",""instagram"":""https://www.instagram.com/northernquarter_huddersfield/"",""twitter"":""https://mobile.twitter.com/nquarterhudd""}",https://www.facebook.com/northernquarterhuddersfield/,https://www.instagram.com/northernquarter_huddersfield/,https://mobile.twitter.com/nquarterhudd,
Truth Huddersfield,"34-36 Cross Church St, Huddersfield HD1 2PT, Великобритания",34-36 Cross Church St,Huddersfield,Ночной клуб,-_DjZ5iaCvWnkdUP5rTg2Qs,,NO,15,1.9,https://search.google.com/local/reviews?placeid=ChIJoxo1LN3de0gRAWwQeVwVp9o&q=Huddersfield+night+club&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=15755585308291263489,53.646094,-1.7804457,,,,https://lh5.googleusercontent.com/p/AF1QipPWP8gy75-On4bl6lmIfg_b-1whgPJUdwVHYz9D=w204-h92-k-no,15755585308291263489,ChIJoxo1LN3de0gRAWwQeVwVp9o,/g/11v5t93803,9C5WJ6W9+CR,https://www.google.com/search?kgmid=/g/11v5t93803,,,,,,
The Junction,"1 Westbourne Rd, Marsh, Huddersfield HD1 4LA, Великобритания",1 Westbourne Rd,Marsh,"Паб,Бар,Пивной сад,Коктейль-бар,Магазин кофе,Караоке-бар,Бар с живой музыкой,Концертная площадка,Спорт-бар,Винный бар",+44 7762 670800,"07762 670800, +44 7762 670800",YES,227,4.1,https://search.google.com/local/reviews?placeid=ChIJD2J6SLvde0gRqvPk0cV4yJ8&q=Huddersfield+night+club&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=11513585238398006186,53.651215,-1.8015048999999999,,,"среда:[12:00–23:30], четверг:[12:00–23:30], пятница:[12:00–01:00], суббота:[11:00–01:00], воскресенье:[11:00–23:30], понедельник:[12:00–23:30], вторник:[12:00–23:30]",https://lh5.googleusercontent.com/p/AF1QipPb8ZUDG2YOqRFAc711-gWipkvJUyuaG4lNR9YO=w80-h106-k-no,11513585238398006186,ChIJD2J6SLvde0gRqvPk0cV4yJ8,/g/1tj7_jc1,9C5WM52X+F9,https://www.google.com/search?kgmid=/g/1tj7_jc1,,"{""facebook"":""https://www.facebook.com/thejunctionhuddersfield/"",""twitter"":""https://twitter.com/foresteershd9""}",https://www.facebook.com/thejunctionhuddersfield/,,https://twitter.com/foresteershd9,
No. 10 Bar,"10 Lidget St, Lindley, Huddersfield HD3 3JB, Великобритания",10 Lidget St,Lindley,Бар,+44 1484 648724,"01484 648724, +44 1484 648724",YES,199,4.3,https://search.google.com/local/reviews?placeid=ChIJrQDI6uzce0gRbscwx59Zp54&q=Huddersfield+night+club&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=11432204721879828334,53.6601144,-1.822917,http://www.no10bar.co.uk/,no10bar.co.uk,"среда:[17:30–00:00], четверг:[17:30–00:00], пятница:[16:00–00:00], суббота:[16:00–00:00], воскресенье:[Закрыто], понедельник:[Закрыто], вторник:[Закрыто]",https://lh5.googleusercontent.com/p/AF1QipPFhjcmyaxnTofWcE8tnFEclsyXmi1Eke1n78im=w163-h92-k-no,11432204721879828334,ChIJrQDI6uzce0gRbscwx59Zp54,/g/126243b99,9C5WM56G+2R,https://www.google.com/search?kgmid=/g/126243b99,info@no10bar.co.uk,"{""instagram"":""https://www.instagram.com/explore/locations/224118548/no-10-bar/?hl=en"",""facebook"":""https://www.facebook.com/no10barlindley/"",""twitter"":""https://twitter.com/no10bar"",""yelp"":""https://www.yelp.com/biz/no-10-bar-huddersfield""}",https://www.facebook.com/no10barlindley/,https://www.instagram.com/explore/locations/224118548/no-10-bar/?hl=en,https://twitter.com/no10bar,https://www.yelp.com/biz/no-10-bar-huddersfield
Revolution Huddersfield,"28 Cross Church St, Huddersfield HD1 2PT, Великобритания",28 Cross Church St,Huddersfield,"Паб,Бар,Комната отдыха,Ресторан",+44 1484 546243,"01484 546243, +44 1484 546243",YES,1029,4,https://search.google.com/local/reviews?placeid=ChIJX4rgknLce0gRLSqVeK3M2lQ&q=Huddersfield+night+club&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=6114424489533319725,53.6462802,-1.78047,https://www.revolution-bars.co.uk/bar/huddersfield?utm_source=Google&utm_medium=Yext&y_source=1_NTAyNDA2NzMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,revolution-bars.co.uk,"среда:[17:00–23:00], четверг:[17:00–23:00], пятница:[12:00–03:00], суббота:[12:00–04:00], воскресенье:[Закрыто], понедельник:[Закрыто], вторник:[Закрыто]",https://lh5.googleusercontent.com/p/AF1QipOldvzhrFs3gbwOrEeKwVu6BeCcfGAE-hEGQQLM=w122-h92-k-no,6114424489533319725,ChIJX4rgknLce0gRLSqVeK3M2lQ,/g/1tg7rkt6,9C5WJ6W9+GR,https://www.google.com/search?kgmid=/g/1tg7rkt6,"newcastleut@revolution-bars.co.uk,dpo@revolutionbarsgroup.com","{""facebook"":""https://en-gb.facebook.com/revolutionbars/"",""twitter"":""https://twitter.com/revolutionbars"",""instagram"":""https://www.instagram.com/revolutionbars/?hl=en"",""tiktok"":""https://www.tiktok.com/@revolutionbars""}",https://en-gb.facebook.com/revolutionbars/,https://www.instagram.com/revolutionbars/?hl=en,https://twitter.com/revolutionbars,
Radcliffe Arms,"59 Westgate, Huddersfield HD5 8XF, Великобритания",59 Westgate,Huddersfield,"Паб,Бар",+44 1484 768953,"01484 768953, +44 1484 768953",YES,109,4.5,https://search.google.com/local/reviews?placeid=ChIJsfqbYVbZe0gRDL6AhFhqZ7M&q=Huddersfield+night+club&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=12927418183802994188,53.6309313,-1.7479437999999998,https://www.facebook.com/1562055557425153?y_source=1_MTQ0NTM0NTgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,facebook.com,"среда:[12:00–00:00], четверг:[12:00–23:00], пятница:[12:00–00:00], суббота:[11:00–00:00], воскресенье:[11:00–23:00], понедельник:[12:00–23:00], вторник:[12:00–23:00]",https://lh5.googleusercontent.com/p/AF1QipPdDVF9B1yb37mdEtGYIVGqH0h43AAK0-bYImNC=w163-h92-k-no,12927418183802994188,ChIJsfqbYVbZe0gRDL6AhFhqZ7M,/g/1tglyjs2,9C5WJ7J2+9R,https://www.google.com/search?kgmid=/g/1tglyjs2,,"{""facebook"":""https://www.facebook.com/1562055557425153/""}",https://www.facebook.com/1562055557425153/,,,
The Vulcan,"32 St Peter's St, Huddersfield HD1 1RA, Великобритания",32 St Peter's St,Huddersfield,Паб,+44 1484 302040,"01484 302040, +44 1484 302040",YES,491,4.3,https://search.google.com/local/reviews?placeid=ChIJlQDjZm3ce0gRQDgzbq_IdC0&q=Huddersfield+night+club&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=3275463484798875712,53.6482958,-1.7798817999999998,,,"среда:[09:00–23:00], четверг:[09:00–23:00], пятница:[09:00–23:00], суббота:[09:00–23:00], воскресенье:[09:00–23:00], понедельник:[09:00–23:00], вторник:[09:00–23:00]",https://lh5.googleusercontent.com/p/AF1QipMbsJfcCM0JaXGtIey1pJagFUU4rNpM_at3m1VJ=w138-h92-k-no,3275463484798875712,ChIJlQDjZm3ce0gRQDgzbq_IdC0,/g/1vh_7yhw,9C5WJ6XC+82,https://www.google.com/search?kgmid=/g/1vh_7yhw,,"{""facebook"":""https://www.facebook.com/vulcan.vulcan.7/"",""yelp"":""https://www.yelp.com/biz/vulcan-the-public-house-huddersfield""}",https://www.facebook.com/vulcan.vulcan.7/,,,https://www.yelp.com/biz/vulcan-the-public-house-huddersfield
