Name,Fulladdress,Street,Municipality,Categories,Phone,Phones,Claimed,Review Count,Average Rating,Review URL,Google Maps URL,Latitude,Longitude,Website,Domain,Opening hours,Featured image,Cid,Place Id,Kgmid,Plus code,Google Knowledge URL,Email,Social Medias,Facebook,Instagram,Twitter,Yelp
The Key Club,"66 Merrion St, Leeds LS2 8LW, Великобритания",66 Merrion St,Leeds,"Ночной клуб,Концертная площадка",ePvjZ9-jAqackdUPzuCTuA4,,YES,237,4.2,https://search.google.com/local/reviews?placeid=ChIJdwVfQhtceUgRCAiln0pYvbE&q=Leeds+night+club&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=12807489992840775688,53.8009953,-1.5435546,https://www.thekeyclubleeds.com/,thekeyclubleeds.com,"среда:[23:00–03:00], четверг:[23:00–03:00], пятница:[23:00–04:00], суббота:[23:00–04:00], воскресенье:[Закрыто], понедельник:[Закрыто], вторник:[23:00–03:00]",https://lh5.googleusercontent.com/p/AF1QipOHx2KCL1SYRKISw6-dmcIVjk2DMjrxMcEJJWKp=w122-h92-k-no,12807489992840775688,ChIJdwVfQhtceUgRCAiln0pYvbE,/g/11b6_my3zz,9C5WRF24+9H,https://www.google.com/search?kgmid=/g/11b6_my3zz,"info@thekeyclubleeds.com,Info@thekeyclubleeds.com","{""facebook"":""https://www.facebook.com/natalie.shaw.96199344/posts/2569554856766352"",""instagram"":""https://www.instagram.com/thekeyclubleeds/"",""twitter"":""https://twitter.com/thekeyclubleeds""}",https://www.facebook.com/natalie.shaw.96199344/posts/2569554856766352,https://www.instagram.com/thekeyclubleeds/,https://twitter.com/thekeyclubleeds,
PRYZM,"16-18 Woodhouse Ln, Leeds LS2 8LX, Великобритания",16-18 Woodhouse Ln,Leeds,"Ночной клуб,Бар,Диджей,Концертная площадка",+44 113 243 9510,"0113 243 9510, +44 113 243 9510",NO,338,2.8,https://search.google.com/local/reviews?placeid=ChIJR-NnYxtceUgRzFGtaSj9L1g&q=Leeds+night+club&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=6354575949256544716,53.8011221,-1.5446796999999999,http://pryzm.co.uk/leeds,pryzm.co.uk,"среда:[22:30–04:00], четверг:[Закрыто], пятница:[23:00–03:00], суббота:[22:30–04:00], воскресенье:[Закрыто], понедельник:[22:30–04:00], вторник:[Закрыто]",https://lh5.googleusercontent.com/p/AF1QipNWEnIndRRfhDjTcAJxIiceK-vhQPNbEjxTaXVx=w189-h92-k-no,6354575949256544716,ChIJR-NnYxtceUgRzFGtaSj9L1g,/g/1q2wkrd46,9C5WRF24+C4,https://www.google.com/search?kgmid=/g/1q2wkrd46,"Brighton@pryzm.co.uk,last}@pryzm.co.uk,jsmith@pryzm.co.uk",,,,,
Popworld - Leeds,"43 Cookridge St, Leeds LS2 3AW, Великобритания",43 Cookridge St,Leeds,"Ночной клуб,Бар,Комната отдыха",+44 113 468 9619,"0113 468 9619, +44 113 468 9619",YES,597,4.5,https://search.google.com/local/reviews?placeid=ChIJa0GgwxxceUgRL_fqGzvj6MI&q=Leeds+night+club&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=14044725280965850927,53.8019057,-1.5474776,https://www.popworldparty.co.uk/leeds?utm_source=gmb&utm_medium=organic&utm_campaign=homepage,popworldparty.co.uk,"среда:[21:00–03:00], четверг:[21:00–03:00], пятница:[17:00–03:00], суббота:[13:00–03:00], воскресенье:[Закрыто], понедельник:[Закрыто], вторник:[Закрыто]",https://lh5.googleusercontent.com/p/AF1QipMsPp4CskmTfpCUWQK7le405suNkrKmoWZ9z9Cn=w138-h92-k-no,14044725280965850927,ChIJa0GgwxxceUgRL_fqGzvj6MI,/g/11dyn8_p2z,9C5WRF23+Q2,https://www.google.com/search?kgmid=/g/11dyn8_p2z,"Popworld.Leeds@stonegategroup.co.uk,datarequest@stonegatepubs.com,c.datarequest@stonegatepubs.com,stonegateenquiries@stonegategroup.co.uk,datarequest@stonegategroup.co.uk,customer.feedback@stonegategroup.co.uk,customer.feedback@stonegatepubs.com,appsupport@stonegatepubs.com,hello@mixr.co.uk","{""facebook"":""https://facebook.com/stonegatepubs"",""twitter"":""https://twitter.com/stonegate_group"",""spotify"":""https://open.spotify.com/user/popworldbaby?si=f36b12027a224e83&nd=1&dlsi=aa5703709a004d1f"",""linkedin"":""https://www.linkedin.com/company/stonegategroup""}",https://facebook.com/stonegatepubs,,https://twitter.com/stonegate_group,
The Warehouse,"19-21 Somers St, West Yorkshire, Leeds LS1 2RG, Великобритания",19-21 Somers St,"West Yorkshire, Leeds",Ночной клуб,+44 113 426 5078,"0113 426 5078, +44 113 426 5078",YES,195,3.2,https://search.google.com/local/reviews?placeid=ChIJ58hsE6deeUgR6GJ51WUiWnQ&q=Leeds+night+club&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=8384051477072143080,53.798811099999995,-1.5536193999999999,https://www.theleedswarehouse.com/,theleedswarehouse.com,"среда:[22:30–04:00], четверг:[Закрыто], пятница:[22:30–05:00], суббота:[22:30–05:00], воскресенье:[Закрыто], понедельник:[10:30–04:00], вторник:[22:30–04:00]",https://lh5.googleusercontent.com/p/AF1QipMXdJJVoKHkmqvXi61tlg_7i56fHcJ2cQfsPguJ=w122-h92-k-no,8384051477072143080,ChIJ58hsE6deeUgR6GJ51WUiWnQ,/g/1tdfsnlg,9C5WQCXW+GH,https://www.google.com/search?kgmid=/g/1tdfsnlg,"Kirk@RunningWild.co.uk,Lottie.bradshaw@tegmjr.com,claire.sutton@tegvenues.com,info@theleedswarehouse.com,josh.newington@tegvenues.com,accessibility@tegmjr.com,venue@theleedswarehouse.com","{""facebook"":""https://www.facebook.com/thewarehouseleeds/"",""twitter"":""https://twitter.com/warehouse_leeds"",""instagram"":""https://www.instagram.com/thewarehouseleeds/"",""yelp"":""https://www.yelp.com/biz/the-warehouse-leeds""}",https://www.facebook.com/thewarehouseleeds/,https://www.instagram.com/thewarehouseleeds/,https://twitter.com/warehouse_leeds,https://www.yelp.com/biz/the-warehouse-leeds
BEAVER WORKS,"36 Whitehouse St, Hunslet, Leeds LS10 1AD, Великобритания",36 Whitehouse St,Hunslet,"Ночной клуб,Место проведения мероприятий",+44 7943 814078,"07943 814078, +44 7943 814078",YES,507,4.6,https://search.google.com/local/reviews?placeid=ChIJAUgwWDpceUgRx6tN1EdOvMs&q=Leeds+night+club&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=14680694955732478919,53.783652599999996,-1.5342768999999998,https://www.facebook.com/beaverworks,facebook.com,,https://lh5.googleusercontent.com/p/AF1QipOKDabwrYgyOyStkE8oSr0FOjqjUotO2UrLRqxM=w163-h92-k-no,14680694955732478919,ChIJAUgwWDpceUgRx6tN1EdOvMs,/g/11xmsjvyl,9C5WQFM8+F7,https://www.google.com/search?kgmid=/g/11xmsjvyl,,"{""yelp"":""https://www.yelp.com/biz/beaver-works-leeds"",""facebook"":""https://www.facebook.com/beaverworks/"",""youtube"":""https://www.youtube.com/user/rejuvenationleeds""}",https://www.facebook.com/beaverworks/,,,https://www.yelp.com/biz/beaver-works-leeds
The Backroom,"50a Call Ln, Leeds LS1 6DT, Великобритания",50a Call Ln,Leeds,"Ночной клуб,Бар",+44 113 243 8666,"0113 243 8666, +44 113 243 8666",YES,640,3.7,https://search.google.com/local/reviews?placeid=ChIJgVXbqxlceUgRmI4Q4LmO8oI&q=Leeds+night+club&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=9435761098273885848,53.794995699999994,-1.5412637,https://www.backroomleeds.co.uk/?utm_source=google&utm_medium=gmb,backroomleeds.co.uk,"среда:[Закрыто], четверг:[23:00–00:00], пятница:[00:00–05:00], суббота:[00:00–06:00], воскресенье:[00:00–06:00], понедельник:[00:00–05:00], вторник:[Закрыто]",https://lh5.googleusercontent.com/p/AF1QipP3AmlDZEpxI70c4UuXw09ylwOc0Efeah18Z29e=w138-h92-k-no,9435761098273885848,ChIJgVXbqxlceUgRmI4Q4LmO8oI,/g/1hg4s5rhx,9C5WQFV5+XF,https://www.google.com/search?kgmid=/g/1hg4s5rhx,info@backroomleeds.co.uk,"{""youtube"":""https://www.youtube.com/channel/ucv1fxw1ul_tjikp94zea-wa"",""instagram"":""https://www.instagram.com/backroomleeds/"",""facebook"":""https://www.facebook.com/backroomleeds"",""twitter"":""https://www.twitter.com/backroomleeds""}",https://www.facebook.com/backroomleeds,https://www.instagram.com/backroomleeds/,https://www.twitter.com/backroomleeds,
Club Mission,"8 Heaton's Ct, Leeds LS1 4LJ, Великобритания",8 Heaton's Ct,Leeds,"Ночной клуб,Бар,Место проведения мероприятий,Концертная площадка",ePvjZ9-jAqackdUPzuCTuA4,,YES,75,3.4,https://search.google.com/local/reviews?placeid=ChIJgzPb3xhceUgRcnsuDGenp-A&q=Leeds+night+club&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=16188091446634380146,53.794734899999995,-1.5435784,,,,https://lh5.googleusercontent.com/p/AF1QipM6CdcESE_GF07UQz3JOSEUSumSW4v7tfhCRt2J=w138-h92-k-no,16188091446634380146,ChIJgzPb3xhceUgRcnsuDGenp-A,/g/1tfx4dz5,9C5WQFV4+VH,https://www.google.com/search?kgmid=/g/1tfx4dz5,,"{""yelp"":""https://www.yelp.com/biz/club-mission-leeds-3""}",,,,https://www.yelp.com/biz/club-mission-leeds-3
The Wardrobe,"6 St Peter's Square, Leeds LS9 8AH, Великобритания",6 St Peter's Square,Leeds,"Бар с живой музыкой,Бар,Концертная площадка,Ресторан",+44 113 383 8800,"0113 383 8800, +44 113 383 8800",YES,1788,4.5,https://search.google.com/local/reviews?placeid=ChIJpbOFCdhdeUgRrEKx2bu-_A0&q=Leeds+night+club&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=1007890130644583084,53.7971156,-1.5335992999999999,http://www.thewardrobe.co.uk/,thewardrobe.co.uk,"среда:[12:00–23:00], четверг:[12:00–23:00], пятница:[12:00–00:00], суббота:[12:00–00:00], воскресенье:[Закрыто], понедельник:[Закрыто], вторник:[12:00–23:00]",https://lh5.googleusercontent.com/p/AF1QipNMM2Ybz9O8IPl7ptwKNdZMuylcduPZnBEp63qC=w122-h92-k-no,1007890130644583084,ChIJpbOFCdhdeUgRrEKx2bu-_A0,/g/11ghx0v4wv,9C5WQFW8+RH,https://www.google.com/search?kgmid=/g/11ghx0v4wv,"bar@thewardrobe.co.uk,reservations@thewardrobe.co.uk,marketing@futuresoundgroup.com,ryan@thewardrobe.co.uk","{""instagram"":""https://www.instagram.com/livettscoffeeshop/"",""twitter"":""https://twitter.com/wardrobeleeds"",""facebook"":""https://www.facebook.com/thewardrobeleeds/"",""yelp"":""https://www.yelp.com/biz/the-wardrobe-leeds""}",https://www.facebook.com/thewardrobeleeds/,https://www.instagram.com/livettscoffeeshop/,https://twitter.com/wardrobeleeds,https://www.yelp.com/biz/the-wardrobe-leeds
The HiFi Club,"2 Central Rd, Leeds LS1 6DE, Великобритания",2 Central Rd,Leeds,"Ночной клуб,Бар",+44 113 244 5867,"0113 244 5867, +44 113 244 5867",YES,144,3.7,https://search.google.com/local/reviews?placeid=ChIJ33RImRlceUgR5j5MJOhJ24M&q=Leeds+night+club&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=9501269100258410214,53.7962104,-1.541061,http://www.thehificlub.co.uk/,thehificlub.co.uk,"среда:[23:00–04:00], четверг:[23:00–04:00], пятница:[23:00–04:00], суббота:[18:30–04:00], воскресенье:[Закрыто], понедельник:[Закрыто], вторник:[23:00–04:00]",https://lh5.googleusercontent.com/p/AF1QipOTwoFyNcdPHqgCB4QhcimEpkbNRbK0Tps1UFh8=w138-h92-k-no,9501269100258410214,ChIJ33RImRlceUgR5j5MJOhJ24M,/g/1tjv30fh,9C5WQFW5+FH,https://www.google.com/search?kgmid=/g/1tjv30fh,info@thehificlub.co.uk,"{""facebook"":""https://www.facebook.com/hificlubleeds/"",""twitter"":""https://twitter.com/hificlubleeds"",""instagram"":""https://instagram.com/hificlubleeds/"",""yelp"":""https://www.yelp.com/biz/the-hifi-club-leeds""}",https://www.facebook.com/hificlubleeds/,https://instagram.com/hificlubleeds/,https://twitter.com/hificlubleeds,https://www.yelp.com/biz/the-hifi-club-leeds
The Space,"11A Hirst's Yard, Leeds LS1 6NJ, Великобритания",11A Hirst's Yard,Leeds,Ночной клуб,+44 113 246 1030,"0113 246 1030, +44 113 246 1030",NO,147,2.3,https://search.google.com/local/reviews?placeid=ChIJRcLODhlceUgR-UobfvDPUAs&q=Leeds+night+club&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=815380164368878329,53.795794099999995,-1.5419021,https://www.facebook.com/SpaceLeedsClub/,facebook.com,"среда:[23:00–04:00], четверг:[23:00–04:00], пятница:[23:00–04:00], суббота:[23:00–05:00], воскресенье:[23:00–00:00], понедельник:[23:00–04:00], вторник:[23:00–04:00]",https://lh5.googleusercontent.com/p/AF1QipNefEM4aDtFXNO2LCurgM1sGRYbQc9MGp3pB_8F=w80-h106-k-no,815380164368878329,ChIJRcLODhlceUgR-UobfvDPUAs,/g/1vqmhwx0,9C5WQFW5+86,https://www.google.com/search?kgmid=/g/1vqmhwx0,,,,,,
