Name,Fulladdress,Street,Municipality,Categories,Phone,Phones,Claimed,Review Count,Average Rating,Review URL,Google Maps URL,Latitude,Longitude,Website,Domain,Opening hours,Featured image,Cid,Place Id,Kgmid,Plus code,Google Knowledge URL,Email,Social Medias,Facebook,Instagram,Twitter,Yelp
The American Bar,"19 Rue Brémontier, 40200 Mimizan",19 Rue Brémontier,40200 Mimizan,"Диско-клуб,Бар",05 58 09 39 24,"05 58 09 39 24, +33 5 58 09 39 24",YES,233,3.5,https://search.google.com/local/reviews?placeid=ChIJGU_gtTGPUw0Rl9G1F-Swg0Q&q=night+club+in+leon+france&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=4936984110225019287,44.2135842,-1.2960778,https://www.bara-club.com/,bara-club.com,"среда:[02:00–05:30], четверг:[02:00–05:30], пятница:[02:00–05:30], суббота:[02:00–05:30], воскресенье:[02:00–05:30], понедельник:[02:00–05:30], вторник:[02:00–05:30]",https://lh5.googleusercontent.com/p/AF1QipPyUjqUZSxN3cqXfCM3Y1cIL9NrMopXyX8J5YFY=w248-h92-k-no,4936984110225019287,ChIJGU_gtTGPUw0Rl9G1F-Swg0Q,/g/1vcq8xxb,8CPW6P73+CH,https://www.google.com/search?kgmid=/g/1vcq8xxb,"bara-club@outlook.fr,info@balletbody.sg","{""yelp"":""https://www.yelp.com/biz/le-bar-am%c3%a9ricain-mimizan-4"",""instagram"":""https://www.instagram.com/baraclubmmz/"",""facebook"":""https://www.facebook.com/baraclubmmz""}",https://www.facebook.com/baraclubmmz,https://www.instagram.com/baraclubmmz/,,https://www.yelp.com/biz/le-bar-am%c3%a9ricain-mimizan-4
Carré Coast - Exclusive Nightclub,"7 Bd du Général de Gaulle, 64200 Biarritz",7 Bd du Général de Gaulle,64200 Biarritz,"Ночной клуб,Коктейль-бар,Диско-клуб",05 59 24 64 64,"05 59 24 64 64, +33 5 59 24 64 64",YES,482,2.8,https://search.google.com/local/reviews?placeid=ChIJ5ax1TdhqUQ0Reb7MQuV5KPc&q=night+club+in+leon+france&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=17809618752011812473,43.4848091,-1.5574151999999999,https://www.carrecoast.com/,carrecoast.com,"среда:[Закрыто], четверг:[23:50–00:00], пятница:[00:00–06:00], суббота:[00:00–06:00], воскресенье:[00:00–06:00], понедельник:[Закрыто], вторник:[Закрыто]",https://lh5.googleusercontent.com/p/AF1QipMf5-5V2OXF_fgf05PmtWO7iBBa5Zj_AcdRW5jh=w122-h92-k-no,17809618752011812473,ChIJ5ax1TdhqUQ0Reb7MQuV5KPc,/g/1tg7tb59,8CMWFCMV+W2,https://www.google.com/search?kgmid=/g/1tg7tb59,contact@carrecoast.com,"{""instagram"":""https://www.instagram.com/carrecoast.officiel/"",""facebook"":""https://www.facebook.com/carrecoast/about/"",""youtube"":""https://www.youtube.com/channel/ucn_prmmh5wyl8f3lhip1-1a/featured"",""spotify"":""https://open.spotify.com/user/qootg27cp65i7vunc7khvczf6"",""yelp"":""https://www.yelp.com/biz/le-carr%c3%a9-coast-biarritz""}",https://www.facebook.com/carrecoast/about/,https://www.instagram.com/carrecoast.officiel/,,https://www.yelp.com/biz/le-carr%c3%a9-coast-biarritz
DUPLEX CLUB,"24 Av. Edouard VII, 64200 Biarritz",24 Av. Edouard VII,64200 Biarritz,"Ночной клуб,Бар с живой музыкой",06 25 08 22 46,"06 25 08 22 46, +33 6 25 08 22 46",YES,884,2.9,https://search.google.com/local/reviews?placeid=ChIJE-6CPdhqUQ0R4aMPodnlvug&q=night+club+in+leon+france&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=16771094785247126497,43.4835391,-1.5583691,http://nightclub-biarritz.com/fr/,nightclub-biarritz.com,"среда:[00:00–06:00], четверг:[00:00–06:00], пятница:[00:00–06:00], суббота:[00:00–06:00], воскресенье:[00:00–06:00], понедельник:[Закрыто], вторник:[23:30–00:00]",https://lh5.googleusercontent.com/p/AF1QipOIMRN8ER3SrS01Q-VsP5HZKSNRbUYg4NyJ0H4K=w138-h92-k-no,16771094785247126497,ChIJE-6CPdhqUQ0R4aMPodnlvug,/g/1ptzf7w6w,8CMWFCMR+CM,https://www.google.com/search?kgmid=/g/1ptzf7w6w,duplexnightclub64@gmail.com,"{""facebook"":""https://www.facebook.com/duplexclub64"",""instagram"":""https://www.instagram.com/p/dg3t0gfqrnm/"",""youtube"":""https://www.youtube.com/channel/uc4rh8uirc_gv4ghq9kiu61g"",""twitter"":""https://twitter.com/duplex64""}",https://www.facebook.com/duplexclub64,https://www.instagram.com/p/dg3t0gfqrnm/,https://twitter.com/duplex64,
Must Night Club,"6 Chem. de Hayet, 64100 Bayonne",6 Chem. de Hayet,64100 Bayonne,"Ночной клуб,Ресторан,Рабочий клуб",06 46 00 73 33,"06 46 00 73 33, +33 6 46 00 73 33",YES,819,4.1,https://search.google.com/local/reviews?placeid=ChIJU9Ll7bdAUQ0R2-iDada44nc&q=night+club+in+leon+france&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=8638670266282797275,43.4927719,-1.4525419,https://www.instagram.com/must__nightclub?igsh=MWY1anhhd3N5NGJ1dQ==,instagram.com,"среда:[18:00–23:00], четверг:[18:00–00:00], пятница:[00:00–05:00], суббота:[00:00–06:00], воскресенье:[00:00–06:00], понедельник:[Закрыто], вторник:[18:00–23:00]",https://lh5.googleusercontent.com/p/AF1QipNQ6FB17ZEA-HbFZ-EURN6RwYA1uRc41VMcqZxR=w122-h92-k-no,8638670266282797275,ChIJU9Ll7bdAUQ0R2-iDada44nc,/g/11hcvh70by,8CMWFGVW+4X,https://www.google.com/search?kgmid=/g/11hcvh70by,,"{""facebook"":""https://www.facebook.com/lemustnightclub/"",""instagram"":""https://www.instagram.com/p/dhd-0vknel-/""}",https://www.facebook.com/lemustnightclub/,https://www.instagram.com/p/dhd-0vknel-/,,
Casa Lola - Electronic Club,"15 Pl. Georges Clemenceau, 64200 Biarritz",15 Pl. Georges Clemenceau,64200 Biarritz,Ночной клуб,05 59 24 38 46,"05 59 24 38 46, +33 5 59 24 38 46",YES,316,2.9,https://search.google.com/local/reviews?placeid=ChIJ71z2CChrUQ0RlIVZWhWDf6E&q=night+club+in+leon+france&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=11637164089882019220,43.4825969,-1.5603175999999999,https://casalola.fr/,casalola.fr,"среда:[Закрыто], четверг:[Закрыто], пятница:[23:50–00:00], суббота:[00:00–06:00], воскресенье:[00:00–06:00], понедельник:[Закрыто], вторник:[Закрыто]",https://lh5.googleusercontent.com/p/AF1QipOCHRNGxqoy5eHJ-Ss53hX8EfvDUzfbaNzbUWl7=w80-h106-k-no,11637164089882019220,ChIJ71z2CChrUQ0RlIVZWhWDf6E,/g/11gg67m9sl,8CMWFCMQ+2V,https://www.google.com/search?kgmid=/g/11gg67m9sl,,"{""instagram"":""https://www.instagram.com/p/decltp3tvqi/""}",,https://www.instagram.com/p/decltp3tvqi/,,
Azar Club,"52 Quai Rambaud, 69002 Lyon",52 Quai Rambaud,69002 Lyon,Ночной клуб,bEXkZ42pLa2fkdUPi5C02QM,,YES,2856,3.9,https://search.google.com/local/reviews?placeid=ChIJVVURFtDr9EcRulAdlR-dawQ&q=night+club+in+leon+france&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=318520957631025338,45.7353801,4.8152558,http://www.azarclub.fr/,azarclub.fr,"среда:[Закрыто], четверг:[23:30–00:00], пятница:[00:00–06:00], суббота:[00:00–06:00], воскресенье:[00:00–06:00], понедельник:[Закрыто], вторник:[Закрыто]",https://lh5.googleusercontent.com/p/AF1QipOjsqDrzSXxBcwO_H2bEb3O6mMSC4F_aBYF0-Gx=w138-h92-k-no,318520957631025338,ChIJVVURFtDr9EcRulAdlR-dawQ,/g/11hd54qxwp,8FQ6PRP8+54,https://www.google.com/search?kgmid=/g/11hd54qxwp,contact@azarclub.fr,"{""facebook"":""https://www.facebook.com/azarclublyon"",""instagram"":""https://www.instagram.com/azar_fight_gravity/"",""youtube"":""https://www.youtube.com/channel/uct7ua6nbeempa7m2w4a7ytw""}",https://www.facebook.com/azarclublyon,https://www.instagram.com/azar_fight_gravity/,,
Le Rich club,"Rue Saint-Eutrope, 40100 Dax",Rue Saint-Eutrope,40100 Dax,Ночной клуб,05 58 90 20 53,"05 58 90 20 53, +33 5 58 90 20 53",YES,30,3.5,https://search.google.com/local/reviews?placeid=ChIJvZzm5eilVg0RkCtXyjcIZqY&q=night+club+in+leon+france&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=11990280093631458192,43.7068339,-1.0522616999999999,https://instagram.com/richclubdax?utm_medium=copy_link,instagram.com,"среда:[Закрыто], четверг:[Закрыто], пятница:[00:00–05:30], суббота:[00:00–05:30], воскресенье:[Закрыто], понедельник:[Закрыто], вторник:[Закрыто]",https://lh5.googleusercontent.com/p/AF1QipNDKPH6owAousdNWoeKmq0GM0fhfJxOU9aZbB6x=w80-h106-k-no,11990280093631458192,ChIJvZzm5eilVg0RkCtXyjcIZqY,/g/11fs34hvy2,8CMWPW4X+P3,https://www.google.com/search?kgmid=/g/11fs34hvy2,,"{""yelp"":""https://www.yelp.com/biz/le-rich-dax"",""facebook"":""https://www.facebook.com/people/le-rich-dax/100032094926113/""}",https://www.facebook.com/people/le-rich-dax/100032094926113/,,,https://www.yelp.com/biz/le-rich-dax
Chez Bichon,"85 Chem. de Tonne, 40170 Saint-Julien-en-Born",85 Chem. de Tonne,40170 Saint-Julien-en-Born,Ночной клуб,bEXkZ42pLa2fkdUPi5C02QM,,NO,12,5,https://search.google.com/local/reviews?placeid=ChIJ4_HpFQD1Uw0RgWu4-YKunIE&q=night+club+in+leon+france&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=9339531604818160513,44.055608299999996,-1.2195487999999999,,,,,9339531604818160513,ChIJ4_HpFQD1Uw0RgWu4-YKunIE,/g/11y41rt46d,8CPW3Q4J+65,https://www.google.com/search?kgmid=/g/11y41rt46d,,,,,,
Salle de la Huchette,"Pl. de Vagos, 40550 Léon",Pl. de Vagos,40550 Léon,"Место проведения мероприятий,Арена",05 58 49 20 00,"05 58 49 20 00, +33 5 58 49 20 00",YES,88,4.2,https://search.google.com/local/reviews?placeid=ChIJZ05d9ej7Uw0RZf8eDSWrTFM&q=night+club+in+leon+france&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=6002360579000303461,43.8766524,-1.2995856,http://www.leon.fr/,leon.fr,,https://lh5.googleusercontent.com/p/AF1QipOKBbANB-qaq40pMNile7EFhKmzjeIcK5F1-7ra=w80-h142-k-no,6002360579000303461,ChIJZ05d9ej7Uw0RZf8eDSWrTFM,/g/11c4bngrqy,8CMWVPG2+M5,https://www.google.com/search?kgmid=/g/11c4bngrqy,"mairie@leon.fr,espacejeunes@leon.fr,mediatheque@leon.fr,infojeunes@cc-cln.fr","{""facebook"":""https://www.facebook.com/mairieleon"",""youtube"":""https://www.youtube.com/channel/uc_ro-egkv0kwcef4uemuaya""}",https://www.facebook.com/mairieleon,,,
La Boca,"6 All. de Glain, 64100 Bayonne",6 All. de Glain,64100 Bayonne,Ночной клуб,bEXkZ42pLa2fkdUPi5C02QM,,NO,4,2.5,https://search.google.com/local/reviews?placeid=ChIJI3C_ZQBBUQ0RP0LjnIxCoYw&q=night+club+in+leon+france&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=10133453808255320639,43.485066599999996,-1.4726347,https://www.instagram.com/laboca_bayonne?igsh=aXpsbGFpYTdqY2N1,instagram.com,"среда:[Закрыто], четверг:[00:00–06:00], пятница:[00:00–06:00], суббота:[00:00–06:00], воскресенье:[Закрыто], понедельник:[Закрыто], вторник:[Закрыто]",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XZNuCiHv5FCXeh5NeAlYrA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=48.076942&pitch=0&thumbfov=100,10133453808255320639,ChIJI3C_ZQBBUQ0RP0LjnIxCoYw,/g/11x1zc7vjt,8CMWFGPG+2W,https://www.google.com/search?kgmid=/g/11x1zc7vjt,,"{""instagram"":""https://www.instagram.com/laboca_bayonne/""}",,https://www.instagram.com/laboca_bayonne/,,
