Name,Fulladdress,Street,Municipality,Categories,Phone,Phones,Claimed,Review Count,Average Rating,Review URL,Google Maps URL,Latitude,Longitude,Website,Domain,Opening hours,Featured image,Cid,Place Id,Kgmid,Plus code,Google Knowledge URL,Email,Social Medias,Facebook,Instagram,Twitter,Yelp
Carwash Nightclub,"109 Kingsway, London WC2B 6PP, Великобритания",109 Kingsway,London,"Ночной клуб,Бар,Ресторан поздних завтраков,Коктейль-бар,Ресторан",+44 20 4558 7944,"020 4558 7944, +44 20 4558 7944",YES,1414,4.6,https://search.google.com/local/reviews?placeid=ChIJS3rh1Aeo2EcRCRN4oCIUYLQ&q=London+night+club&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=12997410663544918793,51.5166207,-0.12037199999999999,http://carwash.co.uk/,carwash.co.uk,"среда:[Закрыто], четверг:[Закрыто], пятница:[21:00–02:00], суббота:[12:00–16:00], воскресенье:[Закрыто], понедельник:[Закрыто], вторник:[Закрыто]",https://lh5.googleusercontent.com/p/AF1QipPOg1Bi9hh7WWXPtxG4zX2mAkHOoGAK9g7IUEBZ=w134-h92-k-no,12997410663544918793,ChIJS3rh1Aeo2EcRCRN4oCIUYLQ,/g/11ckscw02h,9C3XGV8H+JV,https://www.google.com/search?kgmid=/g/11ckscw02h,"hello@carwash.co.uk,complaints@carwash.co.uk","{""facebook"":""https://www.facebook.com/carwashlondon"",""twitter"":""https://twitter.com/carwashlondon"",""instagram"":""httpss://help.instagram.com/519522125107875?helpref=page_content"",""tiktok"":""https://www.tiktok.com/@carwashnightclub"",""youtube"":""https://www.youtube.com/t/privacy_at_youtube"",""pinterest"":""https://www.pinterest.co.uk/carwashlondon/""}",https://www.facebook.com/carwashlondon,httpss://help.instagram.com/519522125107875?helpref=page_content,https://twitter.com/carwashlondon,
fabric London,"77A Charterhouse St, London EC1M 6HJ, Великобритания",77A Charterhouse St,London,"Ночной клуб,Бар,Диско-клуб,Место проведения мероприятий",+44 20 7336 8898,"020 7336 8898, +44 20 7336 8898",YES,2405,3.7,https://search.google.com/local/reviews?placeid=ChIJ23ztzVMbdkgR2PT2FFPOOmc&q=London+night+club&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=7438484590785131736,51.5195807,-0.1024841,https://www.fabriclondon.com/,fabriclondon.com,"среда:[10:00–17:00], четверг:[10:00–17:00], пятница:[23:00–00:00], суббота:[00:00–06:00], воскресенье:[00:00–07:00], понедельник:[00:00–04:00], вторник:[10:00–17:00]",https://lh5.googleusercontent.com/p/AF1QipN44RK4NSQQ9QTiA9eT5_WsIPUws32gC3gw6yK8=w80-h100-k-no,7438484590785131736,ChIJ23ztzVMbdkgR2PT2FFPOOmc,/m/079l_p,9C3XGV9X+R2,https://www.google.com/search?kgmid=/m/079l_p,"info@fabriclondon.com,safer-spaces@fabriclondon.com,events@fabriclondon.com","{""facebook"":""https://www.facebook.com/fabriclondon"",""instagram"":""https://www.instagram.com/fabriclondonofficial"",""twitter"":""https://twitter.com/fabriclondon"",""youtube"":""https://www.youtube.com/user/fabriclondon"",""tiktok"":""https://www.tiktok.com/@fabric.london"",""yelp"":""https://www.yelp.com/biz/fabric-london-2""}",https://www.facebook.com/fabriclondon,https://www.instagram.com/fabriclondonofficial,https://twitter.com/fabriclondon,https://www.yelp.com/biz/fabric-london-2
London top Nightclubs (Guestlist & table booking),"1 Dover St, London W1S 4LD, Великобритания",1 Dover St,London,Ночной клуб,+44 7508 300364,"07508 300364, +44 7508 300364",YES,134,4.7,https://search.google.com/local/reviews?placeid=ChIJu3XJO0dMgqcRX1jhlKpc8OA&q=London+night+club&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=16208556946618407007,51.5077508,-0.1412337,,,"среда:[09:00–03:00], четверг:[09:00–03:30], пятница:[09:00–03:00], суббота:[09:00–03:00], воскресенье:[09:00–03:00], понедельник:[Закрыто], вторник:[Закрыто]",https://lh5.googleusercontent.com/p/AF1QipO0sIm0rg2YOEh-Kfw-5KVCNIkpPJkvJV5mHCYB=w156-h92-k-no,16208556946618407007,ChIJu3XJO0dMgqcRX1jhlKpc8OA,/g/11sqddc4xl,9C3XGV55+4G,https://www.google.com/search?kgmid=/g/11sqddc4xl,,,,,,
XOYO LONDON,"32-37 Cowper St, London EC2A 4AP, Великобритания",32-37 Cowper St,London,"Ночной клуб,Бар,Клуб,Коктейль-бар,Организация праздников и мероприятий,Место проведения мероприятий,Центр переговоров и мероприятий,Концертная площадка,Организатор праздников,Паб",KgfkZ-3eJcSmkdUP3uX6-A0,,YES,1631,3.3,https://search.google.com/local/reviews?placeid=ChIJiQ6ffa8cdkgR1ZQx7YVWik8&q=London+night+club&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=5731488608992466133,51.5254634,-0.0857349,https://xoyo.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=Google%20My%20Business%20Page,xoyo.co.uk,"среда:[22:00–03:00], четверг:[22:00–03:00], пятница:[21:30–04:00], суббота:[21:30–04:00], воскресенье:[Закрыто], понедельник:[22:00–03:00], вторник:[22:00–03:00]",https://lh5.googleusercontent.com/p/AF1QipMe9O5vvjRSeIDS9ER-Bt1-sTlGA8NCqWmHdDLT=w137-h92-k-no,5731488608992466133,ChIJiQ6ffa8cdkgR1ZQx7YVWik8,/m/0k0t7jj,9C3XGWG7+5P,https://www.google.com/search?kgmid=/m/0k0t7jj,"xoyo@tegvenues.com,Legal@TEGEurope.com,xoyolondon@tegvenues.com,claire.sutton@tegvenues.com,jamie.reddick@TEGVenues.com,press@tegvenues.com,claire.sutton@tevenues.com,marketing@tegeurope.com,data@tegeurope.com","{""facebook"":""https://www.facebook.com/mailchimp/"",""twitter"":""https://x.com/mailchimp"",""instagram"":""https://www.instagram.com/mailchimp/"",""linkedin"":""https://www.linkedin.com/company/mailchimp"",""youtube"":""https://www.youtube.com/user/mailchimp"",""pinterest"":""https://www.pinterest.com/mailchimp/"",""yelp"":""https://www.yelp.com/biz/xoyo-london""}",https://www.facebook.com/mailchimp/,https://www.instagram.com/mailchimp/,https://x.com/mailchimp,https://www.yelp.com/biz/xoyo-london
Egg London Nightclub,"5-13 Vale Royal, London N7 9AP, Великобритания",5-13 Vale Royal,London,"Ночной клуб,Бар,Место проведения мероприятий,Концертная площадка",KgfkZ-3eJcSmkdUP3uX6-A0,,YES,2147,3.4,https://search.google.com/local/reviews?placeid=ChIJ2Xe4MBEbdkgRXvgrGYkgZb4&q=London+night+club&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=13719407613059004510,51.5418892,-0.1245245,https://www.egglondon.co.uk/,egglondon.co.uk,"среда:[22:30–00:00], четверг:[00:00–04:00], пятница:[23:00–00:00], суббота:[00:00–06:00], воскресенье:[00:00–07:00], понедельник:[Закрыто], вторник:[Закрыто]",https://lh5.googleusercontent.com/p/AF1QipOiV714lv35vxPuMGGhhZozUNOhSypiN1Ar_VaG=w138-h92-k-no,13719407613059004510,ChIJ2Xe4MBEbdkgRXvgrGYkgZb4,/g/11f3w6t9vp,9C3XGVRG+Q5,https://www.google.com/search?kgmid=/g/11f3w6t9vp,"info@egglondon.co.uk,lostandfound@egglondon.co.uk","{""facebook"":""https://www.facebook.com/eggnightclub"",""twitter"":""https://twitter.com/themes_ancora"",""instagram"":""https://www.instagram.com/reel/dgv_ilinlkb/""}",https://www.facebook.com/eggnightclub,https://www.instagram.com/reel/dgv_ilinlkb/,https://twitter.com/themes_ancora,
Heaven,"9, The Arches, Villiers St, London WC2N 6NG, Великобритания",9,"The Arches, Villiers St","Гей- и лесби-клуб,Ночной клуб",+44 20 7930 2020,"020 7930 2020, +44 20 7930 2020",YES,1667,3,https://search.google.com/local/reviews?placeid=ChIJDVBtxs4EdkgRrFuVtkDtSP0&q=London+night+club&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=18251098352115866540,51.508129,-0.12403499999999999,https://g-a-yandheaven.co.uk/,g-a-yandheaven.co.uk,"среда:[23:00–04:00], четверг:[22:00–04:00], пятница:[22:00–04:00], суббота:[22:00–05:00], воскресенье:[22:00–04:00], понедельник:[22:00–04:00], вторник:[Закрыто]",https://lh5.googleusercontent.com/p/AF1QipP-2z63Bby5uPkfp1FHs-gH4abFm4MmRtWNZXhU=w122-h92-k-no,18251098352115866540,ChIJDVBtxs4EdkgRrFuVtkDtSP0,/m/0cdpd0,9C3XGV5G+79,https://www.google.com/search?kgmid=/m/0cdpd0,privacy@g-a-y.co.uk,"{""facebook"":""https://www.facebook.com/g-a-y-heaven-nightclub-148376865200372"",""instagram"":""https://instagram.com/heavenlgbtclub/"",""youtube"":""https://www.youtube.com/watch?v=5qs0ycuxsfs"",""twitter"":""https://twitter.com/personalization"",""yelp"":""https://www.yelp.com/biz/heaven-london""}",https://www.facebook.com/g-a-y-heaven-nightclub-148376865200372,https://instagram.com/heavenlgbtclub/,https://twitter.com/personalization,https://www.yelp.com/biz/heaven-london
Fire & Lightbox,"39 Parry St, London SW8 1RT, Великобритания",39 Parry St,London,Ночной клуб,KgfkZ-3eJcSmkdUP3uX6-A0,,NO,207,4.4,https://search.google.com/local/reviews?placeid=ChIJqci3E-4EdkgRzB3zKMIyw5M&q=London+night+club&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=10647409753526050252,51.4848594,-0.1236264,https://www.lightboxlondon.net/,lightboxlondon.net,,,10647409753526050252,ChIJqci3E-4EdkgRzB3zKMIyw5M,/g/11qg972hzy,9C3XFVMG+WG,https://www.google.com/search?kgmid=/g/11qg972hzy,info@lightboxlondon.com,"{""twitter"":""https://twitter.com/lightboxlondon"",""facebook"":""https://www.facebook.com/lightboxlondon"",""instagram"":""https://www.instagram.com/lightboxlondon/""}",https://www.facebook.com/lightboxlondon,https://www.instagram.com/lightboxlondon/,https://twitter.com/lightboxlondon,
Министерство Звука,"103 Gaunt St, London SE1 6DP, Великобритания",103 Gaunt St,London,"Ночной клуб,Бар,Танцевальный клуб,Билетная касса,Место проведения мероприятий",+44 20 7740 8600,"020 7740 8600, +44 20 7740 8600",YES,2750,3.9,https://search.google.com/local/reviews?placeid=ChIJi1P0ZqEEdkgRNrZdihKXmOc&q=London+night+club&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=16688254525107975734,51.4977929,-0.09946859999999999,https://www.ministryofsound.com/,ministryofsound.com,"среда:[Закрыто], четверг:[Закрыто], пятница:[22:30–05:00], суббота:[22:30–06:00], воскресенье:[Закрыто], понедельник:[Закрыто], вторник:[22:30–04:00]",https://lh5.googleusercontent.com/p/AF1QipMQTWWM2MMuPHmn9M-mSnMufBRqcpMbMxlWT3pd=w122-h92-k-no,16688254525107975734,ChIJi1P0ZqEEdkgRNrZdihKXmOc,/m/044xwr,9C3XFWX2+46,https://www.google.com/search?kgmid=/m/044xwr,"tableservice@ministryofsound.com,info@ministryofsound.com,IT@ministryofsound.com,GDPR@ministryofsound.com,lostproperty@ministryofsound.com,ministryofsound@seetickets.com,access@ministryofsound.com,candidate-privacy@ministryofsound.com,VIP@ministryofsound.com","{""instagram"":""https://www.instagram.com/ministryofsoundclub/?hl=en"",""facebook"":""https://www.facebook.com/ministryofsoundclub/?locale=en_gb"",""tiktok"":""https://www.tiktok.com/@ministry.of.sound.club""}",https://www.facebook.com/ministryofsoundclub/?locale=en_gb,https://www.instagram.com/ministryofsoundclub/?hl=en,,
Corsica Studios,"4, 5 Elephant Rd, London SE17 1LB, Великобритания",4,5 Elephant Rd,Ночной клуб,+44 20 7703 4760,"020 7703 4760, +44 20 7703 4760",NO,988,4.3,https://search.google.com/local/reviews?placeid=ChIJhUxt4KEEdkgRgZ5c5UG5qZ0&q=London+night+club&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=11360815227690851969,51.493570299999995,-0.0987089,http://www.corsicastudios.com/,corsicastudios.com,,https://lh5.googleusercontent.com/p/AF1QipOFgnFtLWkhFzA6sJqE23HG_WjAABaLhACg9sXj=w163-h92-k-no,11360815227690851969,ChIJhUxt4KEEdkgRgZ5c5UG5qZ0,/m/0k3c1__,9C3XFWV2+CG,https://www.google.com/search?kgmid=/m/0k3c1__,info@corsicastudios.com,"{""facebook"":""https://www.facebook.com/permalink.php?story_fbid=3158912344332362&id=100006408821311"",""yelp"":""https://www.yelp.com/biz/corsica-studios-london"",""twitter"":""https://twitter.com/corsica_studios""}",https://www.facebook.com/permalink.php?story_fbid=3158912344332362&id=100006408821311,,https://twitter.com/corsica_studios,https://www.yelp.com/biz/corsica-studios-london
Fire Nightclub,"Vauxhall, S Lambeth Rd, London SW8 1RT, Великобритания",Vauxhall,S Lambeth Rd,Ночной клуб,+44 20 3242 0040,"020 3242 0040, +44 20 3242 0040",YES,952,3.8,https://search.google.com/local/reviews?placeid=ChIJ42PH4-0EdkgR5U4q26b-2DQ&q=London+night+club&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=3808073477536763621,51.4844782,-0.1232683,https://www.firelondon.net/,firelondon.net,"среда:[Закрыто], четверг:[Закрыто], пятница:[23:00–00:00], суббота:[00:00–09:00], воскресенье:[00:00–11:00], понедельник:[Закрыто], вторник:[Закрыто]",https://lh5.googleusercontent.com/p/AF1QipPDGFAH-mWfZL7hf91qfXjVVLPht0gfTpZVl3ph=w138-h92-k-no,3808073477536763621,ChIJ42PH4-0EdkgR5U4q26b-2DQ,/g/1tgxhjq9,9C3XFVMG+QM,https://www.google.com/search?kgmid=/g/1tgxhjq9,lost@firelondon.net,"{""twitter"":""https://twitter.com/firevauxhall"",""facebook"":""https://www.facebook.com/firelondon"",""instagram"":""https://www.instagram.com/firelondon/""}",https://www.facebook.com/firelondon,https://www.instagram.com/firelondon/,https://twitter.com/firevauxhall,
