Name,Fulladdress,Street,Municipality,Categories,Phone,Phones,Claimed,Review Count,Average Rating,Review URL,Google Maps URL,Latitude,Longitude,Website,Domain,Opening hours,Featured image,Cid,Place Id,Kgmid,Plus code,Google Knowledge URL,Email,Social Medias,Facebook,Instagram,Twitter,Yelp
Aatma,"1st Floor, 14-16 Faraday St, Manchester M1 1BE, Великобритания",1st Floor,14-16 Faraday St,"Ночной клуб,Концертная площадка,Пиццерия",HpTpZ62rOPmGkdUPrfb9qAU,,YES,85,4.4,"https://search.google.com/local/reviews?placeid=ChIJfcAbur6xe0gRKomTvhloqEw&q=night+club+in+Northern+Quarter,+Manchester,+UK&authuser=0&hl=ru&gl=FR",https://www.google.com/maps?cid=5523779402750724394,53.482695799999995,-2.2329525,http://www.aatmavenue.co.uk/,aatmavenue.co.uk,"воскресенье:[16:00–00:00], понедельник:[16:00–00:00], вторник:[16:00–00:00], среда:[16:00–00:00], четверг:[16:00–04:00], пятница:[16:00–04:00], суббота:[16:00–04:00]",https://lh5.googleusercontent.com/p/AF1QipMNABP4rk7k0hfYMCeeQRDpWJgVibzyRm694OCf=w163-h92-k-no,"5,52377940275072E+018",ChIJfcAbur6xe0gRKomTvhloqEw,/g/11clhrhz22,9C5VFQM8+3R,https://www.google.com/search?kgmid=/g/11clhrhz22,,,,,,
Off The Square,"67 Lever St, Manchester M1 1FL, Великобритания",67 Lever St,Manchester,"Бар,Диско-клуб,Место проведения мероприятий",+44 161 518 4248,"0161 518 4248, +44 161 518 4248",YES,87,4.4,"https://search.google.com/local/reviews?placeid=ChIJt6CZPQ2xe0gRTtCxuIkrxTc&q=night+club+in+Northern+Quarter,+Manchester,+UK&authuser=0&hl=ru&gl=FR",https://www.google.com/maps?cid=4018666113007210574,53.4835261,-2.2327671,https://offthesquaremcr.co.uk/,offthesquaremcr.co.uk,"воскресенье:[Закрыто], понедельник:[Закрыто], вторник:[Закрыто], среда:[Закрыто], четверг:[Закрыто], пятница:[19:00–04:00], суббота:[19:00–04:00]",https://lh5.googleusercontent.com/p/AF1QipNfQxEnYD8nssJ0zzotwoXQFoU1yXFvoWG1DR6a=w122-h92-k-no,"4,01866611300721E+018",ChIJt6CZPQ2xe0gRTtCxuIkrxTc,/g/11fn7jqn08,9C5VFQM8+CV,https://www.google.com/search?kgmid=/g/11fn7jqn08,marcraphevents@gmail.com,"{""facebook"":""https://www.facebook.com/infectiousdjevents/posts/774448818015943"",""instagram"":""https://www.instagram.com/offthesquaremcr/?hl=en-gb""}",https://www.facebook.com/infectiousdjevents/posts/774448818015943,https://www.instagram.com/offthesquaremcr/?hl=en-gb,,
Mint Lounge,"46-50 Oldham St, Manchester M4 1LE, Великобритания",46-50 Oldham St,Manchester,"Ночной клуб,Бар,Место проведения мероприятий",+44 161 228 1495,"0161 228 1495, +44 161 228 1495",YES,83,3.2,"https://search.google.com/local/reviews?placeid=ChIJm3bcMrmxe0gRIvt0tk3QMNM&q=night+club+in+Northern+Quarter,+Manchester,+UK&authuser=0&hl=ru&gl=FR",https://www.google.com/maps?cid=15217892173077084962,53.4832434,-2.2344554999999997,http://www.mintlounge.com/,mintlounge.com,"воскресенье:[Закрыто], понедельник:[Закрыто], вторник:[Закрыто], среда:[Закрыто], четверг:[Закрыто], пятница:[Закрыто], суббота:[22:30–04:00]",https://lh5.googleusercontent.com/p/AF1QipMHn_ZGHRrnUJD6f7688G0juH1SXkjiIPeSMTmV=w138-h92-k-no,"1,52178921730771E+019",ChIJm3bcMrmxe0gRIvt0tk3QMNM,/g/12hpjx8__,9C5VFQM8+76,https://www.google.com/search?kgmid=/g/12hpjx8__,"events@mintlounge.com,bookings@mintlounge.com","{""yelp"":""https://www.yelp.com/biz/mint-lounge-manchester"",""facebook"":""https://en-gb.facebook.com/mintloungeclub/""}",https://en-gb.facebook.com/mintloungeclub/,,,https://www.yelp.com/biz/mint-lounge-manchester
Night and Day Café,"26 Oldham St, Manchester M1 1JN, Великобритания",26 Oldham St,Manchester,"Бар,Концертная площадка",+44 161 236 1822,"0161 236 1822, +44 161 236 1822",YES,1659,4.5,"https://search.google.com/local/reviews?placeid=ChIJ47Lm176xe0gRY0h0g6J39GQ&q=night+club+in+Northern+Quarter,+Manchester,+UK&authuser=0&hl=ru&gl=FR",https://www.google.com/maps?cid=7274570837984036963,53.482742599999995,-2.2352547,http://www.nightnday.org/,nightnday.org,"воскресенье:[12:00–00:00], понедельник:[12:00–02:00], вторник:[12:00–02:00], среда:[12:00–02:00], четверг:[12:00–02:00], пятница:[12:00–04:00], суббота:[12:00–04:00]",https://lh5.googleusercontent.com/p/AF1QipOblUOQqivj3STA_7e7jJSoSYYHzydQrNhmy1_e=w163-h92-k-no,"7,27457083798404E+018",ChIJ47Lm176xe0gRY0h0g6J39GQ,/m/0bqd2p,9C5VFQM7+3V,https://www.google.com/search?kgmid=/m/0bqd2p,"contact@nightnday.org,bookings@nightnday.org,accessibility@nightnday.org","{""twitter"":""https://twitter.com/nightanddaycafe"",""facebook"":""https://www.facebook.com/nightndaycafe/"",""instagram"":""https://www.instagram.com/p/czmhnqhtieu/"",""yelp"":""https://www.yelp.com/biz/night-and-day-caf%c3%a9-manchester-2""}",https://www.facebook.com/nightndaycafe/,https://www.instagram.com/p/czmhnqhtieu/,https://twitter.com/nightanddaycafe,https://www.yelp.com/biz/night-and-day-caf%c3%a9-manchester-2
The Peer Hat,"14-16 Faraday St, Manchester M1 1BE, Великобритания",14-16 Faraday St,Manchester,"Ночной клуб,Концертная площадка,Бар",+44 7510 728092,"07510 728092, +44 7510 728092",YES,723,4.5,"https://search.google.com/local/reviews?placeid=ChIJsd5GsL6xe0gRvzHSCYjduZc&q=night+club+in+Northern+Quarter,+Manchester,+UK&authuser=0&hl=ru&gl=FR",https://www.google.com/maps?cid=10933013146768650687,53.482686799999996,-2.2329648,,,"воскресенье:[13:00–00:00], понедельник:[16:00–00:00], вторник:[16:00–00:00], среда:[16:00–00:00], четверг:[16:00–03:00], пятница:[16:00–03:00], суббота:[13:00–03:00]",https://lh5.googleusercontent.com/p/AF1QipNOzLP_XAY9Ae-0Mq7ymP975uH-GEbw_YhAuCOF=w163-h92-k-no,"1,09330131467687E+019",ChIJsd5GsL6xe0gRvzHSCYjduZc,/g/11c7073lfb,9C5VFQM8+3R,https://www.google.com/search?kgmid=/g/11c7073lfb,,"{""facebook"":""https://www.facebook.com/thepeerhat/""}",https://www.facebook.com/thepeerhat/,,,
Hidden at Downtex Mill,"16-18 Mary St, Cheetham Hill, Manchester M3 1NH, Великобритания",16-18 Mary St,Cheetham Hill,Диско-клуб,HpTpZ62rOPmGkdUPrfb9qAU,,YES,658,4.2,"https://search.google.com/local/reviews?placeid=ChIJ6Yd9ps-xe0gRgOnsW2VqtNQ&q=night+club+in+Northern+Quarter,+Manchester,+UK&authuser=0&hl=ru&gl=FR",https://www.google.com/maps?cid=15326992415415134592,53.490212299999996,-2.2494453,https://hiddenmcr.com/,hiddenmcr.com,"воскресенье:[Закрыто], понедельник:[Закрыто], вторник:[Закрыто], среда:[Закрыто], четверг:[Закрыто], пятница:[23:00–04:00], суббота:[23:00–04:00]",https://lh5.googleusercontent.com/p/AF1QipOwRpwAG-ZLuPqw0DgWdTho2txM-ZHXjaxv7HVg=w138-h92-k-no,"1,53269924154151E+019",ChIJ6Yd9ps-xe0gRgOnsW2VqtNQ,/g/11b_3d0jjf,9C5VFQR2+36,https://www.google.com/search?kgmid=/g/11b_3d0jjf,,"{""facebook"":""https://www.facebook.com/thehiddenforestmcr/"",""twitter"":""https://twitter.com/hiddenclubmcr/"",""instagram"":""https://www.instagram.com/hiddenclubmcr/""}",https://www.facebook.com/thehiddenforestmcr/,https://www.instagram.com/hiddenclubmcr/,https://twitter.com/hiddenclubmcr/,
Via Manchester,"28-30 Canal St, Manchester M1 3EZ, Великобритания",28-30 Canal St,Manchester,"Ночной клуб,Бар,Комната отдыха",+44 161 236 6523,"0161 236 6523, +44 161 236 6523",YES,668,4.2,"https://search.google.com/local/reviews?placeid=ChIJQ2BdXZWxe0gRaatiyZ6Vz8s&q=night+club+in+Northern+Quarter,+Manchester,+UK&authuser=0&hl=ru&gl=FR",https://www.google.com/maps?cid=14686121419094535017,53.4772232,-2.2368669,https://www.viamanchester.co.uk/manchester?utm_source=gmb&utm_medium=organic&utm_campaign=homepage,viamanchester.co.uk,"воскресенье:[12:00–02:00], понедельник:[12:00–01:00], вторник:[12:00–01:00], среда:[12:00–02:00], четверг:[12:00–02:00], пятница:[12:00–03:00], суббота:[12:00–04:00]",https://lh5.googleusercontent.com/p/AF1QipNhvMhCAC5hJ7MrL6pBQvLtvQfpz7pcOUszI3lL=w122-h92-k-no,"1,46861214190945E+019",ChIJQ2BdXZWxe0gRaatiyZ6Vz8s,/g/1vntjfv5,9C5VFQG7+V7,https://www.google.com/search?kgmid=/g/1vntjfv5,"via.manchester@stonegategroup.co.uk,datarequest@stonegatepubs.com,c.datarequest@stonegatepubs.com,stonegateenquiries@stonegategroup.co.uk,datarequest@stonegategroup.co.uk,customer.feedback@stonegategroup.co.uk,customer.feedback@stonegatepubs.com,appsupport@stonegatepubs.com,hello@mixr.co.uk","{""facebook"":""https://facebook.com/stonegatepubs"",""twitter"":""https://twitter.com/stonegate_group"",""instagram"":""https://www.instagram.com/via_canal_street/"",""linkedin"":""https://www.linkedin.com/company/stonegategroup""}",https://facebook.com/stonegatepubs,https://www.instagram.com/via_canal_street/,https://twitter.com/stonegate_group,
The MCR Lounge,"31 Withy Grove, Manchester M4 2BJ, Великобритания",31 Withy Grove,Manchester,"Ночной клуб,Бар,Танцевальный клуб,Место проведения мероприятий",+44 161 327 4285,"0161 327 4285, +44 161 327 4285",YES,350,4.2,"https://search.google.com/local/reviews?placeid=ChIJj_qOFcexe0gRLl5cbktsEr8&q=night+club+in+Northern+Quarter,+Manchester,+UK&authuser=0&hl=ru&gl=FR",https://www.google.com/maps?cid=13768186082054921774,53.4845976,-2.2406227,https://themanchesterlounge.com/,themanchesterlounge.com,"воскресенье:[00:00–07:00], понедельник:[Закрыто], вторник:[Закрыто], среда:[Закрыто], четверг:[Закрыто], пятница:[18:00–00:00], суббота:[00:00–07:00]",https://lh5.googleusercontent.com/p/AF1QipNwc4153yCBupp267gJ_FtJNEoEY1m7HaWWCjE=w137-h92-k-no,"1,37681860820549E+019",ChIJj_qOFcexe0gRLl5cbktsEr8,/g/11c7wcyxm5,9C5VFQM5+RQ,https://www.google.com/search?kgmid=/g/11c7wcyxm5,bookings@themanchesterlounge.com,"{""facebook"":""https://www.facebook.com/loungemcr/"",""tiktok"":""https://www.tiktok.com/@loungemcr"",""instagram"":""https://www.instagram.com/loungemcr/"",""linkedin"":""https://www.linkedin.com/company/the-manchester-lounge/""}",https://www.facebook.com/loungemcr/,https://www.instagram.com/loungemcr/,,
Stage & Radio,"43 Port St, Manchester M1 2EQ, Великобритания",43 Port St,Manchester,Бар,HpTpZ62rOPmGkdUPrfb9qAU,,YES,274,4.3,"https://search.google.com/local/reviews?placeid=ChIJJ70skr6xe0gRvgqMykSrPHY&q=night+club+in+Northern+Quarter,+Manchester,+UK&authuser=0&hl=ru&gl=FR",https://www.google.com/maps?cid=8519872907022437054,53.4821555,-2.2317975999999997,http://www.stageandradio.co.uk/,stageandradio.co.uk,"воскресенье:[14:00–23:30], понедельник:[Закрыто], вторник:[Закрыто], среда:[17:00–23:30], четверг:[17:00–04:00], пятница:[17:00–04:00], суббота:[14:00–04:00]",https://lh5.googleusercontent.com/p/AF1QipM9cV7qPaqhZS4NN0YaFbZ94vAIgyq6loDt1fJN=w163-h92-k-no,"8,51987290702244E+018",ChIJJ70skr6xe0gRvgqMykSrPHY,/g/11bzzxj11m,9C5VFQJ9+V7,https://www.google.com/search?kgmid=/g/11bzzxj11m,"info@stageandradio.co.uk,events@thestage.co.uk","{""instagram"":""https://www.instagram.com/studiostage_eventos/"",""tiktok"":""https://www.tiktok.com/@stageandradiomcr"",""facebook"":""https://www.facebook.com/stageandradiomcr"",""twitter"":""https://x.com/stageandradiomcr""}",https://www.facebook.com/stageandradiomcr,https://www.instagram.com/studiostage_eventos/,https://x.com/stageandradiomcr,
Satans Hollow,"101 Princess St, Manchester M1 6DD, Великобритания",101 Princess St,Manchester,Ночной клуб,+44 161 236 0666,"0161 236 0666, +44 161 236 0666",YES,536,4,"https://search.google.com/local/reviews?placeid=ChIJ3Tnjuuqxe0gR9ImPlf7NULc&q=night+club+in+Northern+Quarter,+Manchester,+UK&authuser=0&hl=ru&gl=FR",https://www.google.com/maps?cid=13209284200392264180,53.477379299999996,-2.2394192,,,"воскресенье:[Закрыто], понедельник:[Закрыто], вторник:[22:00–03:00], среда:[Закрыто], четверг:[Закрыто], пятница:[22:00–03:30], суббота:[22:00–04:00]",https://lh5.googleusercontent.com/p/AF1QipOq0ikDZqGTVa_-vLB-NlKjgPqTj8W20xR3QehW=w122-h92-k-no,"1,32092842003923E+019",ChIJ3Tnjuuqxe0gR9ImPlf7NULc,/g/1tdfh7cc,9C5VFQG6+X6,https://www.google.com/search?kgmid=/g/1tdfh7cc,,"{""yelp"":""https://www.yelp.com/biz/satans-hollow-manchester""}",,,,https://www.yelp.com/biz/satans-hollow-manchester
