Name,Fulladdress,Street,Municipality,Categories,Phone,Phones,Claimed,Review Count,Average Rating,Review URL,Google Maps URL,Latitude,Longitude,Website,Domain,Opening hours,Featured image,Cid,Place Id,Kgmid,Plus code,Google Knowledge URL,Email,Social Medias,Facebook,Instagram,Twitter,Yelp
Baby Club - Marseille,"2 Rue André Poggioli, 13006 Marseille",2 Rue André Poggioli,13006 Marseille,Диско-клуб,06 19 98 29 22,"06 19 98 29 22, +33 6 19 98 29 22",YES,746,3.6,"https://search.google.com/local/reviews?placeid=ChIJTcWfhKTAyRIROF3y3OoqyqU&q=night+club+in+Marseille,+%D0%90rance&authuser=0&hl=ru&gl=FR",https://www.google.com/maps?cid=11946408149771246904,43.2940988,5.3854241,,,"среда:[23:59–00:00], четверг:[00:00–05:00], пятница:[00:00–06:00], суббота:[00:00–06:00], воскресенье:[00:00–06:00], понедельник:[Закрыто], вторник:[Закрыто]",https://lh5.googleusercontent.com/p/AF1QipPuV6GxRgtqrQqInk9DS3y5Q-q4z-FH39elPDKo=w163-h92-k-no,11946408149771246904,ChIJTcWfhKTAyRIROF3y3OoqyqU,/g/11bc7pwcj5,8FM779VP+J5,https://www.google.com/search?kgmid=/g/11bc7pwcj5,,"{""facebook"":""https://www.facebook.com/babyclubmarseille/"",""instagram"":""https://www.instagram.com/babyclub.ofc/"",""linkedin"":""https://www.linkedin.com/company/shotgun-""}",https://www.facebook.com/babyclubmarseille/,https://www.instagram.com/babyclub.ofc/,,
Le Vogue Club,"1 Rue de l'Observance, 13002 Marseille",1 Rue de l'Observance,13002 Marseille,"Ночной клуб,Ресторан",06 33 67 95 01,"06 33 67 95 01, +33 6 33 67 95 01",YES,279,3.5,"https://search.google.com/local/reviews?placeid=ChIJ9witLBnByRIRvYh4QJSpB2g&q=night+club+in+Marseille,+%D0%90rance&authuser=0&hl=ru&gl=FR",https://www.google.com/maps?cid=7496146558983375037,43.3016127,5.367635,,,"среда:[Закрыто], четверг:[23:45–05:00], пятница:[23:45–05:00], суббота:[23:45–05:00], воскресенье:[Закрыто], понедельник:[Закрыто], вторник:[Закрыто]",https://lh5.googleusercontent.com/p/AF1QipO4cztnRltu1g5DgLuDaG47A6gk3bX1Ub2Zssep=w80-h106-k-no,7496146558983375037,ChIJ9witLBnByRIRvYh4QJSpB2g,/g/11h89122hj,8FM78929+J3,https://www.google.com/search?kgmid=/g/11h89122hj,,"{""facebook"":""https://www.facebook.com/permalink.php?story_fbid=100418039200654&id=100076973730839"",""instagram"":""https://instagram.com/levogueclub_marseille""}",https://www.facebook.com/permalink.php?story_fbid=100418039200654&id=100076973730839,https://instagram.com/levogueclub_marseille,,
Bounce Club,"35 Cr Honoré d'Estienne d'Orves, 13001 Marseille",35 Cr Honoré d'Estienne d'Orves,13001 Marseille,Ночной клуб,06 13 35 12 06,"06 13 35 12 06, +33 6 13 35 12 06",NO,259,2.2,"https://search.google.com/local/reviews?placeid=ChIJq52NkMfAyRIRJrjz2SXIjy0&q=night+club+in+Marseille,+%D0%90rance&authuser=0&hl=ru&gl=FR",https://www.google.com/maps?cid=3283062718272354342,43.292288,5.3723361999999995,,,"среда:[Закрыто], четверг:[Закрыто], пятница:[23:00–04:00], суббота:[23:00–04:00], воскресенье:[Закрыто], понедельник:[Закрыто], вторник:[Закрыто]",https://lh5.googleusercontent.com/p/AF1QipPGe_M0AlrBI6kgsViZutPiHE2SwolfYkM8ikvE=w80-h106-k-no,3283062718272354342,ChIJq52NkMfAyRIRJrjz2SXIjy0,/g/11g9g0wdxw,8FM779RC+WW,https://www.google.com/search?kgmid=/g/11g9g0wdxw,,"{""facebook"":""https://www.facebook.com/djdjel.dontsleep/posts/416337337201132""}",https://www.facebook.com/djdjel.dontsleep/posts/416337337201132,,,
The Pablo Club,"23 Rue Saint-Saëns, 13001 Marseille",23 Rue Saint-Saëns,13001 Marseille,Ночной клуб,07 62 16 24 89,"07 62 16 24 89, +33 7 62 16 24 89",YES,214,2.4,"https://search.google.com/local/reviews?placeid=ChIJG-Ynm7jAyRIRxdp8ltSXCrU&q=night+club+in+Marseille,+%D0%90rance&authuser=0&hl=ru&gl=FR",https://www.google.com/maps?cid=13045406209945688773,43.293381,5.3738487,,,"среда:[Закрыто], четверг:[Закрыто], пятница:[23:59–00:00], суббота:[00:00–06:00], воскресенье:[00:00–06:00], понедельник:[Закрыто], вторник:[Закрыто]",https://lh5.googleusercontent.com/p/AF1QipOmCa7nhECAZ6LKRXGCjjcNP5NDogs8hlQUPliX=w138-h92-k-no,13045406209945688773,ChIJG-Ynm7jAyRIRxdp8ltSXCrU,/g/1tcyzt5k,8FM779VF+9G,https://www.google.com/search?kgmid=/g/1tcyzt5k,,"{""facebook"":""https://www.facebook.com/chezpablo.dealerdebonheur/""}",https://www.facebook.com/chezpablo.dealerdebonheur/,,,
POP Club,"141 Rte Léon Lachamp, 13009 Marseille",141 Rte Léon Lachamp,13009 Marseille,"Ночной клуб,Бар,Фестиваль,Фестивальный зал,Ресторан",06 42 88 79 06,"06 42 88 79 06, +33 6 42 88 79 06",YES,422,4.1,"https://search.google.com/local/reviews?placeid=ChIJeVnLqxy5yRIRjyaMDiBHlsc&q=night+club+in+Marseille,+%D0%90rance&authuser=0&hl=ru&gl=FR",https://www.google.com/maps?cid=14381760663062849167,43.248953799999995,5.4406028,http://www.popclub.fr/,popclub.fr,"среда:[Закрыто], четверг:[Закрыто], пятница:[23:50–00:00], суббота:[24 часа в сутки], воскресенье:[24 часа в сутки], понедельник:[Закрыто], вторник:[Закрыто]",https://lh5.googleusercontent.com/p/AF1QipP5AlmBIXCW5L-ArAepMHqYA9nN9NsyJnDfm8Lq=w138-h92-k-no,14381760663062849167,ChIJeVnLqxy5yRIRjyaMDiBHlsc,/g/1tfh6qyj,8FM76CXR+H6,https://www.google.com/search?kgmid=/g/1tfh6qyj,contact@popclub.fr,"{""facebook"":""https://www.facebook.com/popclubmarseille/"",""instagram"":""https://www.instagram.com/pop_club_marseille/?hl=fr""}",https://www.facebook.com/popclubmarseille/,https://www.instagram.com/pop_club_marseille/?hl=fr,,
LE VINTAGE CLUB,"11 Rue Glandeves, 13001 Marseille",11 Rue Glandeves,13001 Marseille,"Комната отдыха,Клуб,Караоке-бар",06 23 65 57 18,"06 23 65 57 18, +33 6 23 65 57 18",YES,163,4.2,"https://search.google.com/local/reviews?placeid=ChIJ-ayB6LjAyRIRy8gk8tK1lyw&q=night+club+in+Marseille,+%D0%90rance&authuser=0&hl=ru&gl=FR",https://www.google.com/maps?cid=3213236776762394827,43.2936049,5.3751421,,,"среда:[23:00–00:00], четверг:[00:00–06:00], пятница:[00:00–06:00], суббота:[00:00–07:00], воскресенье:[00:00–07:00], понедельник:[00:00–06:00], вторник:[Закрыто]",https://lh5.googleusercontent.com/p/AF1QipNqa3J_O8VG92HdACaNl9lY3JTVkx_B1EmGRwIQ=w138-h92-k-no,3213236776762394827,ChIJ-ayB6LjAyRIRy8gk8tK1lyw,/g/11ckvqlkdq,8FM779VG+C3,https://www.google.com/search?kgmid=/g/11ckvqlkdq,,"{""yelp"":""https://www.yelp.com/biz/le-vintage-marseille"",""facebook"":""https://www.facebook.com/1805921413071442/""}",https://www.facebook.com/1805921413071442/,,,https://www.yelp.com/biz/le-vintage-marseille
Danceteria,"18 Rue Saint-Saëns, 13001 Marseille",18 Rue Saint-Saëns,13001 Marseille,Диско-клуб,ilHkZ_DsMKWokdUPkJv6oAU,,YES,198,3.5,"https://search.google.com/local/reviews?placeid=ChIJz_zubPrByRIRxVEr9JKoOr8&q=night+club+in+Marseille,+%D0%90rance&authuser=0&hl=ru&gl=FR",https://www.google.com/maps?cid=13779511359008625093,43.293826599999996,5.3751519,https://www.instagram.com/danceteria_marseille,instagram.com,"среда:[Закрыто], четверг:[23:50–00:00], пятница:[00:00–06:00], суббота:[00:00–06:00], воскресенье:[00:00–06:00], понедельник:[Закрыто], вторник:[Закрыто]",https://lh5.googleusercontent.com/p/AF1QipOswIUSnRxWBCNit9LwFr2XolnkD5Z8EHCTyL6O=w138-h92-k-no,13779511359008625093,ChIJz_zubPrByRIRxVEr9JKoOr8,/g/11gr6nzz2g,8FM779VG+G3,https://www.google.com/search?kgmid=/g/11gr6nzz2g,,"{""facebook"":""https://www.facebook.com/albertoj.wallis/posts/10158453359498527"",""instagram"":""https://www.instagram.com/danceteria_marseille/""}",https://www.facebook.com/albertoj.wallis/posts/10158453359498527,https://www.instagram.com/danceteria_marseille/,,
La Palmeraie,"90 Bd Rabatau, 13008 Marseille",90 Bd Rabatau,13008 Marseille,Диско-клуб,06 58 52 15 15,"06 58 52 15 15, +33 6 58 52 15 15",YES,216,2.7,"https://search.google.com/local/reviews?placeid=ChIJxT4ilWS5yRIR_p-aZxvkBaY&q=night+club+in+Marseille,+%D0%90rance&authuser=0&hl=ru&gl=FR",https://www.google.com/maps?cid=11963218791533027326,43.2763827,5.3978847,http://www.bazarmarseille.com/,bazarmarseille.com,"среда:[Закрыто], четверг:[Закрыто], пятница:[00:00–06:00], суббота:[00:00–06:00], воскресенье:[Закрыто], понедельник:[Закрыто], вторник:[Закрыто]",https://lh5.googleusercontent.com/p/AF1QipNAoMwkTXjVw-hvgSSJIHjeFA2NCQzm6D0AfAgX=w138-h92-k-no,11963218791533027326,ChIJxT4ilWS5yRIR_p-aZxvkBaY,/g/11jdbb04qb,8FM779GX+H5,https://www.google.com/search?kgmid=/g/11jdbb04qb,,"{""instagram"":""https://www.instagram.com/bazar_palmeraie/"",""yelp"":""https://www.yelp.com/biz/la-palmeraie-marseille-3"",""facebook"":""https://facebook.com/123221537710063""}",https://facebook.com/123221537710063,https://www.instagram.com/bazar_palmeraie/,,https://www.yelp.com/biz/la-palmeraie-marseille-3
R2 Le Rooftop des Terrasses,"Les Terrasses du Port, 9 Quai du Lazaret, 13002 Marseille",Les Terrasses du Port,9 Quai du Lazaret,"Ночной клуб,Бар,Танцевальный зал",04 91 91 79 39,"04 91 91 79 39, +33 4 91 91 79 39",YES,2510,2.8,"https://search.google.com/local/reviews?placeid=ChIJ5egw5u7AyRIRavDIAAapMME&q=night+club+in+Marseille,+%D0%90rance&authuser=0&hl=ru&gl=FR",https://www.google.com/maps?cid=13920812291450269802,43.3065011,5.3650781,https://www.airdemarseille.com/?utm_source=Yext&utm_medium=GMB&y_source=1_MjY2NjYzNjMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,airdemarseille.com,"среда:[19:00–02:00], четверг:[19:00–02:00], пятница:[19:00–02:00], суббота:[19:00–02:00], воскресенье:[19:00–02:00], понедельник:[19:00–02:00], вторник:[19:00–02:00]",https://lh5.googleusercontent.com/p/AF1QipPutImtJAdU8vuLcCsfSuwcOSvU5It_jZfbN181=w138-h92-k-no,13920812291450269802,ChIJ5egw5u7AyRIRavDIAAapMME,/g/11bc7c87h3,8FM78948+J2,https://www.google.com/search?kgmid=/g/11bc7c87h3,"commercial@airdemarseille.com,reservations@airdemarseille.com","{""youtube"":""https://www.youtube.com/watch?v=zonlrqaajo8"",""yelp"":""https://www.yelp.com/biz/r2-rooftop-marseille"",""facebook"":""https://www.facebook.com/airdemarseille"",""twitter"":""https://twitter.com/r2marseille""}",https://www.facebook.com/airdemarseille,,https://twitter.com/r2marseille,https://www.yelp.com/biz/r2-rooftop-marseille
Barta,"83 Av. de la Pointe Rouge, 13008 Marseille",83 Av. de la Pointe Rouge,13008 Marseille,"Ночной клуб,Клуб,Центр переговоров и мероприятий,Бар с живой музыкой,Студия звукозаписи,Рабочий клуб",07 66 75 28 14,"07 66 75 28 14, +33 7 66 75 28 14",YES,458,4.4,"https://search.google.com/local/reviews?placeid=ChIJ6QqoBmzHyRIRTH1-mQBvpm8&q=night+club+in+Marseille,+%D0%90rance&authuser=0&hl=ru&gl=FR",https://www.google.com/maps?cid=8045239832709856588,43.245338499999995,5.3740646,,,"среда:[Закрыто], четверг:[23:59–00:00], пятница:[00:00–05:00], суббота:[00:00–06:00], воскресенье:[00:00–06:00], понедельник:[Закрыто], вторник:[Закрыто]",https://lh5.googleusercontent.com/p/AF1QipMtrHpzZWJoQ19jCxq5xv6F6tCRNR2D4h0o6U-x=w138-h92-k-no,8045239832709856588,ChIJ6QqoBmzHyRIRTH1-mQBvpm8,/g/11thj4yg7p,8FM769WF+4J,https://www.google.com/search?kgmid=/g/11thj4yg7p,,"{""instagram"":""https://www.instagram.com/barta.marseille/""}",,https://www.instagram.com/barta.marseille/,,
