Name,Fulladdress,Street,Municipality,Categories,Phone,Phones,Claimed,Review Count,Average Rating,Review URL,Google Maps URL,Latitude,Longitude,Website,Domain,Opening hours,Featured image,Cid,Place Id,Kgmid,Plus code,Google Knowledge URL,Email,Social Medias,Facebook,Instagram,Twitter,Yelp
Colors Club,"3 Rue de l'Emery, 44000 Nantes",3 Rue de l'Emery,44000 Nantes,"Ночной клуб,Диско-клуб",02 28 44 23 68,"02 28 44 23 68, +33 2 28 44 23 68",YES,698,2.7,"https://search.google.com/local/reviews?placeid=ChIJS8G-A6XuBUgR88NnUAfdgs4&q=night+club+in+Nantes,+France&authuser=0&hl=ru&gl=FR",https://www.google.com/maps?cid=14880699142269027315,47.2156879,-1.5519178,http://www.colorsclub.fr/,colorsclub.fr,"четверг:[00:00–06:00], пятница:[00:00–06:00], суббота:[00:00–06:00], воскресенье:[Закрыто], понедельник:[Закрыто], вторник:[Закрыто], среда:[00:00–06:00]",https://lh5.googleusercontent.com/p/AF1QipPyDETikVZ0cvvCF7zjvdEoHst5YqmeAqI3iFl4=w138-h92-k-no,14880699142269027315,ChIJS8G-A6XuBUgR88NnUAfdgs4,/g/1tffywpw,8CVW6C8X+76,https://www.google.com/search?kgmid=/g/1tffywpw,,"{""facebook"":""https://www.facebook.com/pg/colorsclubnantes"",""instagram"":""https://www.instagram.com/colorsclub/?hl=fr""}",https://www.facebook.com/pg/colorsclubnantes,https://www.instagram.com/colorsclub/?hl=fr,,
Le VIP,"9 Rue de la Paix, 44000 Nantes",9 Rue de la Paix,44000 Nantes,"Диско-клуб,Клуб",DJDkZ8r9FIjX7M8Pjp3FmQM,,YES,335,3.3,"https://search.google.com/local/reviews?placeid=ChIJ0XWa3aXuBUgRzvNIXT_ANl8&q=night+club+in+Nantes,+France&authuser=0&hl=ru&gl=FR",https://www.google.com/maps?cid=6860882460726064078,47.2146049,-1.5544107999999999,http://www.levip.biz/,levip.biz,"четверг:[00:00–07:00], пятница:[00:00–07:00], суббота:[00:00–07:00], воскресенье:[00:00–07:00], понедельник:[00:00–07:00], вторник:[00:00–07:00], среда:[00:00–07:00]",https://lh5.googleusercontent.com/p/AF1QipMLmlMODK3aNe7BAl9EUTJP117Bxu1gKyj-qcvs=w184-h92-k-no,6860882460726064078,ChIJ0XWa3aXuBUgRzvNIXT_ANl8,/g/1tc__vyl,8CVW6C7W+R6,https://www.google.com/search?kgmid=/g/1tc__vyl,,"{""instagram"":""https://www.instagram.com/levipnantes/p/c_8eycnhdsa/"",""facebook"":""https://www.facebook.com/le-vip-400384816664272/"",""yelp"":""https://www.yelp.com/biz/vip-club-nantes""}",https://www.facebook.com/le-vip-400384816664272/,https://www.instagram.com/levipnantes/p/c_8eycnhdsa/,,https://www.yelp.com/biz/vip-club-nantes
The Loft - Nightclub,"9 Rue Franklin, 44000 Nantes",9 Rue Franklin,44000 Nantes,"Ночной клуб,Бар",06 33 66 87 36,"06 33 66 87 36, +33 6 33 66 87 36",YES,641,3,"https://search.google.com/local/reviews?placeid=ChIJ-2_F3BzsBUgR-zzMU7gzBB0&q=night+club+in+Nantes,+France&authuser=0&hl=ru&gl=FR",https://www.google.com/maps?cid=2090852993779645691,47.214417,-1.5634835,https://www.instagram.com/letoilegraslin/,instagram.com,"четверг:[23:30–00:00], пятница:[00:00–06:00], суббота:[00:00–06:00], воскресенье:[00:00–06:00], понедельник:[Закрыто], вторник:[Закрыто], среда:[Закрыто]",https://lh5.googleusercontent.com/p/AF1QipMl-QpACLU-Zjf_vqdZwHB2WQnIizZKjb3US5CN=w137-h92-k-no,2090852993779645691,ChIJ-2_F3BzsBUgR-zzMU7gzBB0,/g/1tyktrys,8CVW6C7P+QJ,https://www.google.com/search?kgmid=/g/1tyktrys,,"{""youtube"":""https://www.youtube.com/watch?v=wv12wesqghw"",""yelp"":""https://www.yelp.com/biz/le-loft-nantes""}",,,,https://www.yelp.com/biz/le-loft-nantes
Le Cavo,"1 Rue des Petites Écuries, 44000 Nantes",1 Rue des Petites Écuries,44000 Nantes,"Диско-клуб,Караоке-бар,Ночной клуб",02 40 47 77 00,"02 40 47 77 00, +33 2 40 47 77 00",YES,450,3.4,"https://search.google.com/local/reviews?placeid=ChIJO-kQCqXuBUgRU0NjuA8pxHo&q=night+club+in+Nantes,+France&authuser=0&hl=ru&gl=FR",https://www.google.com/maps?cid=8846240715557258067,47.215002299999995,-1.5523430999999999,,,"среда:[00:00–06:00], четверг:[00:00–06:00], пятница:[00:00–06:00], суббота:[00:00–06:00], воскресенье:[00:00–06:00], понедельник:[00:00–06:00], вторник:[00:00–06:00]",https://lh5.googleusercontent.com/p/AF1QipNPE9GBigS5yJ8eRnuHhOdxKAOb3CG52XrQfJel=w80-h106-k-no,8846240715557258067,ChIJO-kQCqXuBUgRU0NjuA8pxHo,/g/1tdgts83,8CVW6C8X+23,https://www.google.com/search?kgmid=/g/1tdgts83,,"{""instagram"":""https://www.instagram.com/lecavobouffay/"",""facebook"":""https://www.facebook.com/discothequelecavo/""}",https://www.facebook.com/discothequelecavo/,https://www.instagram.com/lecavobouffay/,,
New Factory,"12 Rue de Rieux, 44000 Nantes",12 Rue de Rieux,44000 Nantes,"Ночной клуб,Бар",02 40 20 33 21,"02 40 20 33 21, +33 2 40 20 33 21",YES,639,3.3,"https://search.google.com/local/reviews?placeid=ChIJAQCsHLHuBUgRpNF1iX3Ov3k&q=night+club+in+Nantes,+France&authuser=0&hl=ru&gl=FR",https://www.google.com/maps?cid=8772957637713449380,47.2108333,-1.5461110999999998,http://www.new-factory.fr/,new-factory.fr,"четверг:[23:59–00:00], пятница:[00:00–06:00], суббота:[00:00–06:00], воскресенье:[00:00–06:00], понедельник:[Закрыто], вторник:[Закрыто], среда:[Закрыто]",https://lh5.googleusercontent.com/p/AF1QipPWEOornZI1dWYtQsY8W_16P-KxhA119KGZOyMW=w137-h92-k-no,8772957637713449380,ChIJAQCsHLHuBUgRpNF1iX3Ov3k,/g/11c61fqy15,8CVW6F63+8H,https://www.google.com/search?kgmid=/g/11c61fqy15,contact@new-factory.fr,"{""facebook"":""https://www.facebook.com/newfactorynantes"",""instagram"":""https://www.instagram.com/newfactory_nantes/?hl=fr"",""youtube"":""https://www.youtube.com/channel/uc_-6o9rtl_jeazrqnkfphiq"",""linkedin"":""https://www.linkedin.com/company/new-factory/?originalsubdomain=fr"",""tiktok"":""https://www.tiktok.com/@new_factory_nantes""}",https://www.facebook.com/newfactorynantes,https://www.instagram.com/newfactory_nantes/?hl=fr,,
Club CO2 Origin,"3 Rue de la Cale Crucy, 44100 Nantes",3 Rue de la Cale Crucy,44100 Nantes,"Ночной клуб,Клуб",DJDkZ8r9FIjX7M8Pjp3FmQM,,YES,526,3.5,"https://search.google.com/local/reviews?placeid=ChIJx0HlpY7rBUgREPqRZYM_cHk&q=night+club+in+Nantes,+France&authuser=0&hl=ru&gl=FR",https://www.google.com/maps?cid=8750563909558204944,47.1978535,-1.5857728,https://www.facebook.com/co2cluborigin.gayclub/,facebook.com,"четверг:[23:59–00:00], пятница:[00:00–07:00], суббота:[00:00–07:00], воскресенье:[00:00–07:00], понедельник:[Закрыто], вторник:[Закрыто], среда:[Закрыто]",https://lh5.googleusercontent.com/p/AF1QipO2nHPSYGUz-teKHrh6_VmiV-soAx8b8VLTWObg=w80-h106-k-no,8750563909558204944,ChIJx0HlpY7rBUgREPqRZYM_cHk,/g/1tlwf08_,8CVW5CX7+4M,https://www.google.com/search?kgmid=/g/1tlwf08_,,"{""facebook"":""https://www.facebook.com/people/co%c2%b2-club-origin/100069341986562/"",""instagram"":""https://www.instagram.com/co2cluborigin.gayclub/""}",https://www.facebook.com/people/co%c2%b2-club-origin/100069341986562/,https://www.instagram.com/co2cluborigin.gayclub/,,
SC Club Nantes - Strip Café Club,"15 Rue Fouré, 44000 Nantes",15 Rue Fouré,44000 Nantes,"Бар,Клуб для взрослых,Школа танцев,Театр,Рабочий клуб",DJDkZ8r9FIjX7M8Pjp3FmQM,,YES,313,4.5,"https://search.google.com/local/reviews?placeid=ChIJ1fdO87DuBUgRBg0FDyJAvXU&q=night+club+in+Nantes,+France&authuser=0&hl=ru&gl=FR",https://www.google.com/maps?cid=8484007788060937478,47.21236,-1.5465181,https://www.sc-club.com/,sc-club.com,"среда:[22:00–04:00], четверг:[22:00–04:00], пятница:[22:00–04:00], суббота:[22:00–04:00], воскресенье:[22:00–04:00], понедельник:[22:00–04:00], вторник:[22:00–04:00]",https://lh5.googleusercontent.com/p/AF1QipMrjAI4wqRcM-r0KCm0-Ip9amspXV8wpokk8WP-=w184-h92-k-no,8484007788060937478,ChIJ1fdO87DuBUgRBg0FDyJAvXU,/g/1tj51zls,8CVW6F63+W9,https://www.google.com/search?kgmid=/g/1tj51zls,"contact@sc-club.com,candidature@sc-club.com,production@sc-club.com","{""instagram"":""https://www.instagram.com/p/cx57ze_maed/"",""facebook"":""https://www.facebook.com/scclubnantes44/"",""linkedin"":""https://www.linkedin.com/company/sc-club/""}",https://www.facebook.com/scclubnantes44/,https://www.instagram.com/p/cx57ze_maed/,,
MODA,"32 Rue Crucy, 44000 Nantes",32 Rue Crucy,44000 Nantes,Диско-клуб,DJDkZ8r9FIjX7M8Pjp3FmQM,,YES,217,3,"https://search.google.com/local/reviews?placeid=ChIJ7wLtEbbvBUgRCqESr6FRj78&q=night+club+in+Nantes,+France&authuser=0&hl=ru&gl=FR",https://www.google.com/maps?cid=13803341137782677770,47.2130742,-1.5500581,http://www.moda-nantes.com/,moda-nantes.com,"четверг:[00:00–06:00], пятница:[00:00–06:00], суббота:[00:00–06:00], воскресенье:[00:00–06:00], понедельник:[Закрыто], вторник:[Закрыто], среда:[Закрыто]",https://lh5.googleusercontent.com/p/AF1QipMfM6OlXxIEznDzPnHF2gu2P6gp-jELquackSCi=w199-h92-k-no,13803341137782677770,ChIJ7wLtEbbvBUgRCqESr6FRj78,/g/11pz00tyyf,8CVW6C7X+6X,https://www.google.com/search?kgmid=/g/11pz00tyyf,,"{""facebook"":""https://www.facebook.com/modaclubnantes"",""instagram"":""https://www.instagram.com/moda_nantes""}",https://www.facebook.com/modaclubnantes,https://www.instagram.com/moda_nantes,,
ONŌ Club,"10 Pl. de la Bourse, 44000 Nantes",10 Pl. de la Bourse,44000 Nantes,Ночной клуб,02 59 16 30 98,"02 59 16 30 98, +33 2 59 16 30 98",YES,5,2.4,"https://search.google.com/local/reviews?placeid=ChIJcXKjZmrvBUgRA3Pf7WgocLQ&q=night+club+in+Nantes,+France&authuser=0&hl=ru&gl=FR",https://www.google.com/maps?cid=13001936555351175939,47.212449899999996,-1.5594967,https://www.ono-nantes.fr/,ono-nantes.fr,"четверг:[00:00–06:00], пятница:[00:00–06:00], суббота:[00:00–06:00], воскресенье:[Закрыто], понедельник:[Закрыто], вторник:[Закрыто], среда:[Закрыто]",https://lh5.googleusercontent.com/p/AF1QipMPK0dvkk6gHFidbSj3mODdJnj9u5XdVCgAffXZ=w80-h119-k-no,13001936555351175939,ChIJcXKjZmrvBUgRA3Pf7WgocLQ,/g/11ybt9rq_3,8CVW6C6R+X6,https://www.google.com/search?kgmid=/g/11ybt9rq_3,contact@ono-nantes.fr,"{""instagram"":""https://www.instagram.com/elephant_club_nantes/"",""facebook"":""https://www.facebook.com/camille.belland/posts/10219499337380268"",""tiktok"":""https://www.tiktok.com/@ononantes""}",https://www.facebook.com/camille.belland/posts/10219499337380268,https://www.instagram.com/elephant_club_nantes/,,
Maximo Club,"11 Pl. de la Bourse, 44000 Nantes",11 Pl. de la Bourse,44000 Nantes,Бар,02 85 37 73 37,"02 85 37 73 37, +33 2 85 37 73 37",YES,477,4.1,"https://search.google.com/local/reviews?placeid=ChIJtdcWGajuBUgRU2_aAKadz14&q=night+club+in+Nantes,+France&authuser=0&hl=ru&gl=FR",https://www.google.com/maps?cid=6831852496048779091,47.2123773,-1.5594031,,,"среда:[17:00–02:30], четверг:[17:00–04:00], пятница:[17:00–04:00], суббота:[17:00–04:00], воскресенье:[16:30–02:30], понедельник:[Закрыто], вторник:[Закрыто]",https://lh5.googleusercontent.com/p/AF1QipN7QVTSq5Q1sa8Ax7j8y4fk2qOLSFdyezXgcWr1=w163-h92-k-no,6831852496048779091,ChIJtdcWGajuBUgRU2_aAKadz14,/g/11csph27m0,8CVW6C6R+X6,https://www.google.com/search?kgmid=/g/11csph27m0,,"{""facebook"":""https://www.facebook.com/permalink.php?story_fbid=2698943087022318&id=100007199594949"",""instagram"":""https://www.instagram.com/maximoclub/""}",https://www.facebook.com/permalink.php?story_fbid=2698943087022318&id=100007199594949,https://www.instagram.com/maximoclub/,,
