Name,Fulladdress,Street,Municipality,Categories,Phone,Phones,Claimed,Review Count,Average Rating,Review URL,Google Maps URL,Latitude,Longitude,Website,Domain,Opening hours,Featured image,Cid,Place Id,Kgmid,Plus code,Google Knowledge URL,Email,Social Medias,Facebook,Instagram,Twitter,Yelp
High Club,"45 Prom. des Anglais, 06000 Nice",45 Prom. des Anglais,06000 Nice,"Ночной клуб,Бар",07 81 88 42 04,"07 81 88 42 04, +33 7 81 88 42 04",YES,2650,4.2,"https://search.google.com/local/reviews?placeid=ChIJUxhsyHLQzRIRXf9C3kUXfwg&q=night+club+in+Nice,+France&authuser=0&hl=ru&gl=FR",https://www.google.com/maps?cid=612233663194791773,43.6940817,7.2559404999999995,http://www.highclub.fr/,highclub.fr,"среда:[Закрыто], четверг:[Закрыто], пятница:[23:59–00:00], суббота:[00:00–07:00], воскресенье:[00:00–07:00], понедельник:[Закрыто], вторник:[Закрыто]",https://lh5.googleusercontent.com/p/AF1QipPs0OU-uTvIxgQMb0LUH0qQEdIeCMU9v3UmwMRu=w138-h92-k-no,612233663194791773,ChIJUxhsyHLQzRIRXf9C3kUXfwg,/g/1v_sw6ml,8FM9M7V4+J9,https://www.google.com/search?kgmid=/g/1v_sw6ml,"info@highclub.fr,eric@highclub.fr,staff@highclub.fr","{""youtube"":""https://www.youtube.com/user/highclubnice"",""twitter"":""https://twitter.com/highclubnice"",""instagram"":""https://www.instagram.com/highclubnice/"",""facebook"":""https://www.facebook.com/raphaelhighclub/"",""yelp"":""https://www.yelp.com/biz/le-high-club-nice""}",https://www.facebook.com/raphaelhighclub/,https://www.instagram.com/highclubnice/,https://twitter.com/highclubnice,https://www.yelp.com/biz/le-high-club-nice
L’Oméga Club - Nice,"8 Pass. Emile Négrin, 06000 Nice",8 Pass. Emile Négrin,06000 Nice,Гей- и лесби-клуб,06 50 65 68 54,"06 50 65 68 54, +33 6 50 65 68 54",YES,251,4.4,"https://search.google.com/local/reviews?placeid=ChIJV2lqVYfbzRIRaKpWZWCFD6A&q=night+club+in+Nice,+France&authuser=0&hl=ru&gl=FR",https://www.google.com/maps?cid=11533583819782662760,43.698373499999995,7.268637399999999,,,"среда:[Закрыто], четверг:[22:00–00:00], пятница:[00:00–04:00], суббота:[00:00–07:00], воскресенье:[00:00–07:00], понедельник:[00:00–07:00], вторник:[Закрыто]",https://lh5.googleusercontent.com/p/AF1QipNfrrYGwXbjWUMB1TcEAR06F2B0q42RiCLqQahM=w122-h92-k-no,11533583819782662760,ChIJV2lqVYfbzRIRaKpWZWCFD6A,/g/11ghq6674v,8FM9M7X9+8F,https://www.google.com/search?kgmid=/g/11ghq6674v,,"{""facebook"":""https://www.facebook.com/stephbovero/posts/10219325740692870""}",https://www.facebook.com/stephbovero/posts/10219325740692870,,,
Le Six,"6 Rue Raoul Bosio, 06300 Nice",6 Rue Raoul Bosio,06300 Nice,"Ночной клуб,Бар,Гей-бар",04 93 62 66 64,"04 93 62 66 64, +33 4 93 62 66 64",YES,407,3.6,"https://search.google.com/local/reviews?placeid=ChIJ13OVrqPazRIRiHF2JmTds04&q=night+club+in+Nice,+France&authuser=0&hl=ru&gl=FR",https://www.google.com/maps?cid=5671119778001351048,43.696090999999996,7.272949,https://le-six.fr/,le-six.fr,"среда:[22:00–05:00], четверг:[22:00–05:00], пятница:[22:00–05:00], суббота:[22:00–05:00], воскресенье:[Закрыто], понедельник:[Закрыто], вторник:[22:00–05:00]",https://lh5.googleusercontent.com/p/AF1QipPnNBPWWxSPO25lyxLX88stM2PdhWWFPKbSTknZ=w137-h92-k-no,5671119778001351048,ChIJ13OVrqPazRIRiHF2JmTds04,/g/1tdrbk_9,8FM9M7WF+C5,https://www.google.com/search?kgmid=/g/1tdrbk_9,,"{""facebook"":""https://www.facebook.com/le.six.bar"",""instagram"":""https://www.instagram.com/le_sixbar/"",""yelp"":""https://www.yelp.com/biz/le-6-nice-2""}",https://www.facebook.com/le.six.bar,https://www.instagram.com/le_sixbar/,,https://www.yelp.com/biz/le-6-nice-2
OMA CLUB,"6 Rue Halévy, 06000 Nice",6 Rue Halévy,06000 Nice,Диско-клуб,07 87 84 28 67,"07 87 84 28 67, +33 7 87 84 28 67",YES,410,4.1,"https://search.google.com/local/reviews?placeid=ChIJU3zw4fbbzRIRWOgqU_jY-GE&q=night+club+in+Nice,+France&authuser=0&hl=ru&gl=FR",https://www.google.com/maps?cid=7059630976962062424,43.6959987,7.2654333,https://omaclub.fr/,omaclub.fr,"среда:[Закрыто], четверг:[23:00–03:00], пятница:[23:00–04:00], суббота:[23:00–04:00], воскресенье:[Закрыто], понедельник:[Закрыто], вторник:[Закрыто]",https://lh5.googleusercontent.com/p/AF1QipP74dPhXxo_zl46KqvP4QJNBt7kI6d3Y4k45nHn=w122-h92-k-no,7059630976962062424,ChIJU3zw4fbbzRIRWOgqU_jY-GE,/g/11sqckdv32,8FM9M7W8+95,https://www.google.com/search?kgmid=/g/11sqckdv32,,"{""instagram"":""https://www.instagram.com/p/df5k52cswr9/"",""facebook"":""https://www.facebook.com/reel/1081618456892462/""}",https://www.facebook.com/reel/1081618456892462/,https://www.instagram.com/p/df5k52cswr9/,,
Pacha Club Nice,"3 Pl. de l'Armée du Rhin, 06300 Nice",3 Pl. de l'Armée du Rhin,06300 Nice,Диско-клуб,06 11 78 21 57,"06 11 78 21 57, +33 6 11 78 21 57",YES,31,2.6,"https://search.google.com/local/reviews?placeid=ChIJ05j3S7jbzRIRwVeG-_Ij9-I&q=night+club+in+Nice,+France&authuser=0&hl=ru&gl=FR",https://www.google.com/maps?cid=16354580098328188865,43.7075713,7.2841426,https://www.instagram.com/pachaclubnice/,instagram.com,"среда:[24 часа в сутки], четверг:[24 часа в сутки], пятница:[24 часа в сутки], суббота:[24 часа в сутки], воскресенье:[24 часа в сутки], понедельник:[24 часа в сутки], вторник:[24 часа в сутки]",https://lh5.googleusercontent.com/p/AF1QipOToER9OFrBKGV_JRc-oKJIcf0NiUDI1-BRUXbp=w117-h92-k-no,16354580098328188865,ChIJ05j3S7jbzRIRwVeG-_Ij9-I,/g/11s8hzpk2x,8FM9P75M+2M,https://www.google.com/search?kgmid=/g/11s8hzpk2x,,"{""facebook"":""https://www.facebook.com/pachaclubnice/videos/such-a-night-pacha-club-3-place-de-larm%c3%a9e-du-rhin-06300-nicepachaclub-pachaclubn/747680473438125/""}",https://www.facebook.com/pachaclubnice/videos/such-a-night-pacha-club-3-place-de-larm%c3%a9e-du-rhin-06300-nicepachaclub-pachaclubn/747680473438125/,,,
Love Frequency,"6 Rue Mascoinat, 06300 Nice",6 Rue Mascoinat,06300 Nice,"Ночной клуб,Бар",07 84 34 00 55,"07 84 34 00 55, +33 7 84 34 00 55",YES,132,3.4,"https://search.google.com/local/reviews?placeid=ChIJd42rZS_bzRIRfqbrZknb7yQ&q=night+club+in+Nice,+France&authuser=0&hl=ru&gl=FR",https://www.google.com/maps?cid=2661587013105067646,43.6976365,7.2765607999999995,https://www.instagram.com/loveclubnice?igsh=bnBsdG9mZHV1aGFx&utm_source=qr,instagram.com,"среда:[Закрыто], четверг:[Закрыто], пятница:[23:30–05:00], суббота:[23:30–05:00], воскресенье:[Закрыто], понедельник:[Закрыто], вторник:[Закрыто]",https://lh5.googleusercontent.com/p/AF1QipMPmqYaIu9nHO3OmD0C0rAy7YLjcWe8IujW0VUh=w138-h92-k-no,2661587013105067646,ChIJd42rZS_bzRIRfqbrZknb7yQ,/g/11t6pmxtfq,8FM9M7XG+3J,https://www.google.com/search?kgmid=/g/11t6pmxtfq,,"{""instagram"":""https://www.instagram.com/p/dfgyfzooezj/"",""facebook"":""https://www.facebook.com/le%20lov%20%7c%20nightclub%20nice/videos/1428229811162249/""}",https://www.facebook.com/le%20lov%20%7c%20nightclub%20nice/videos/1428229811162249/,https://www.instagram.com/p/dfgyfzooezj/,,
Cabaret Boa,"3 Rue Gabriel Fauré, 06000 Nice",3 Rue Gabriel Fauré,06000 Nice,"Ночной клуб,Клуб,Диско-клуб,Бар",07 56 95 11 87,"07 56 95 11 87, +33 7 56 95 11 87",YES,48,3.4,"https://search.google.com/local/reviews?placeid=ChIJNQl-ggrQzRIRhJ1UH4e5gfs&q=night+club+in+Nice,+France&authuser=0&hl=ru&gl=FR",https://www.google.com/maps?cid=18122970365512949124,43.6957466,7.2656966,https://www.le-boa.com/fr/,le-boa.com,"среда:[22:00–05:00], четверг:[22:00–05:00], пятница:[22:00–05:00], суббота:[22:00–05:00], воскресенье:[22:00–05:00], понедельник:[22:00–05:00], вторник:[22:00–05:00]",https://lh5.googleusercontent.com/p/AF1QipN2vHIshq8C-Epmu7dPIY0QneSsAllJ8Rr3-d8V=w80-h111-k-no,18122970365512949124,ChIJNQl-ggrQzRIRhJ1UH4e5gfs,/g/11b67k5xdv,8FM9M7W8+77,https://www.google.com/search?kgmid=/g/11b67k5xdv,,"{""yelp"":""https://www.yelp.com/biz/le-boa-nice""}",,,,https://www.yelp.com/biz/le-boa-nice
OPERA CLUB NICE,"2 Rue de la Préfecture, 06300 Nice",2 Rue de la Préfecture,06300 Nice,"Бар, где едят стоя",WXDkZ4CBEYujkdUPo6_ikQM,,YES,787,2.8,"https://search.google.com/local/reviews?placeid=ChIJgd35vzTbzRIRf_DL678U2w4&q=night+club+in+Nice,+France&authuser=0&hl=ru&gl=FR",https://www.google.com/maps?cid=1070472150957944959,43.6969723,7.2730565,https://www.instagram.com/operaclubnice/,instagram.com,"среда:[23:30–05:00], четверг:[23:30–05:00], пятница:[23:30–05:00], суббота:[23:30–05:00], воскресенье:[Закрыто], понедельник:[Закрыто], вторник:[23:30–05:00]",https://lh5.googleusercontent.com/p/AF1QipMMBGb9fF6k3btXMuY5Nnfc4ctSMWBM0j-Sqqb_=w138-h92-k-no,1070472150957944959,ChIJgd35vzTbzRIRf_DL678U2w4,/g/11j8lzrfr_,8FM9M7WF+Q6,https://www.google.com/search?kgmid=/g/11j8lzrfr_,,"{""yelp"":""https://www.yelp.com/biz/opéra-de-nice-nice-4"",""facebook"":""https://www.facebook.com/operadenice/"",""instagram"":""https://www.instagram.com/operanicecoteazur/"",""youtube"":""https://www.youtube.com/channel/ucniyhdzlblx_qax4tmziina""}",https://www.facebook.com/operadenice/,https://www.instagram.com/operanicecoteazur/,,https://www.yelp.com/biz/opéra-de-nice-nice-4
Kwartz Club,"2 Rue Bréa, 06300 Nice",2 Rue Bréa,06300 Nice,Ночной клуб,WXDkZ4CBEYujkdUPo6_ikQM,,YES,110,3.5,"https://search.google.com/local/reviews?placeid=ChIJydhWj6HazRIR8AuJgCTWpQQ&q=night+club+in+Nice,+France&authuser=0&hl=ru&gl=FR",https://www.google.com/maps?cid=334909199572601840,43.695361999999996,7.2703548,,,"среда:[Закрыто], четверг:[00:00–06:00], пятница:[00:00–06:00], суббота:[00:00–06:00], воскресенье:[Закрыто], понедельник:[Закрыто], вторник:[Закрыто]",https://lh5.googleusercontent.com/p/AF1QipOWZlGig59n0YTYn6xBwvEZ6W-J-ohAaTzk_KFH=w80-h106-k-no,334909199572601840,ChIJydhWj6HazRIR8AuJgCTWpQQ,/g/11fy4jkvh5,8FM9M7WC+44,https://www.google.com/search?kgmid=/g/11fy4jkvh5,,"{""facebook"":""https://www.facebook.com/1627761757540471/"",""instagram"":""https://www.instagram.com/kwartz_club/""}",https://www.facebook.com/1627761757540471/,https://www.instagram.com/kwartz_club/,,
MAÀT CLUB - Nice,"76 Rue de France, 06000 Nice",76 Rue de France,06000 Nice,Ночной клуб,07 77 44 32 02,"07 77 44 32 02, +33 7 77 44 32 02",YES,80,3.6,"https://search.google.com/local/reviews?placeid=ChIJI6sfQP3RzRIRpdX3gk9quiU&q=night+club+in+Nice,+France&authuser=0&hl=ru&gl=FR",https://www.google.com/maps?cid=2718602214803756453,43.6948484,7.2545243,,,"среда:[Закрыто], четверг:[01:00–07:00], пятница:[01:00–07:00], суббота:[01:00–07:00], воскресенье:[01:00–07:00], понедельник:[Закрыто], вторник:[Закрыто]",https://lh5.googleusercontent.com/p/AF1QipMlpt7PZPPSRTAWJdSFrHBaOutBhJ4OQjT9OEw=w80-h120-k-no,2718602214803756453,ChIJI6sfQP3RzRIRpdX3gk9quiU,/g/11j0vt13h2,8FM9M7V3+WR,https://www.google.com/search?kgmid=/g/11j0vt13h2,,"{""facebook"":""https://www.facebook.com/mika.potier/posts/9115219351827381"",""instagram"":""https://www.instagram.com/reel/dfdow1nqegw/""}",https://www.facebook.com/mika.potier/posts/9115219351827381,https://www.instagram.com/reel/dfdow1nqegw/,,
