Name,Fulladdress,Street,Municipality,Categories,Phone,Phones,Claimed,Review Count,Average Rating,Review URL,Google Maps URL,Latitude,Longitude,Website,Domain,Opening hours,Featured image,Cid,Place Id,Kgmid,Plus code,Google Knowledge URL,Email,Social Medias,Facebook,Instagram,Twitter,Yelp
The Labo,"37 Rue des Lombards, 75001 Paris",37 Rue des Lombards,75001 Paris,"Бар,Комната отдыха",01 40 28 02 52,"01 40 28 02 52, +33 1 40 28 02 52",YES,2741,4.2,https://search.google.com/local/reviews?placeid=ChIJE3H94B5u5kcRNtRSYm7Myfw&q=night+club+in+Paris&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=18215314942344746038,48.8597201,2.3476331999999998,http://www.thelabo.fr/,thelabo.fr,"среда:[15:00–02:00], четверг:[15:00–02:00], пятница:[15:00–02:00], суббота:[15:00–06:00], воскресенье:[15:00–00:00], понедельник:[00:00–06:00], вторник:[15:00–02:00]",,18215314942344746038,ChIJE3H94B5u5kcRNtRSYm7Myfw,/g/12hq82gpl,8FW4V85X+V3,https://www.google.com/search?kgmid=/g/12hq82gpl,contact@thelabo.com,"{""youtube"":""https://www.youtube.com/channel/uch3fxjgniofo8f-qnedcpeq"",""facebook"":""https://www.facebook.com/teamlabobarclubparis/"",""yelp"":""https://www.yelp.com/biz/the-labo-paris"",""twitter"":""https://twitter.com/thelaboclub""}",https://www.facebook.com/teamlabobarclubparis/,,https://twitter.com/thelaboclub,https://www.yelp.com/biz/the-labo-paris
L'Arc,"12 Rue de Presbourg, 75116 Paris",12 Rue de Presbourg,75116 Paris,"Диско-клуб,Бар",06 51 95 85 52,"06 51 95 85 52, +33 6 51 95 85 52",YES,679,3.3,https://search.google.com/local/reviews?placeid=ChIJM0zuNexv5kcRRO9O90zTvoA&q=night+club+in+Paris&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=9277084609949921092,48.8739011,2.2931038999999998,http://larc-paris.com/,larc-paris.com,"среда:[Закрыто], четверг:[23:55–00:00], пятница:[00:00–06:00], суббота:[00:00–06:00], воскресенье:[00:00–06:00], понедельник:[Закрыто], вторник:[Закрыто]",,9277084609949921092,ChIJM0zuNexv5kcRRO9O90zTvoA,/g/1tz758th,8FW4V7FV+H6,https://www.google.com/search?kgmid=/g/1tz758th,Reservation@larc-paris.com,"{""facebook"":""https://www.facebook.com/arcclubpariss/"",""instagram"":""https://www.instagram.com/larcparis/"",""tiktok"":""https://www.tiktok.com/@larcparis"",""yelp"":""https://www.yelp.com/biz/l-arc-paris-2"",""twitter"":""https://twitter.com/larcparis""}",https://www.facebook.com/arcclubpariss/,https://www.instagram.com/larcparis/,https://twitter.com/larcparis,https://www.yelp.com/biz/l-arc-paris-2
Paris Paris,"105 Bd de Sébastopol, 75002 Paris",105 Bd de Sébastopol,75002 Paris,Ночной клуб,vyLkZ_SEJ_WLkdUPlujHgQU,,NO,4,3.8,https://search.google.com/local/reviews?placeid=ChIJleVSnhBu5kcRiqSB4-kD7g0&q=night+club+in+Paris&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=1003744070029386890,48.866484899999996,2.3522906999999997,http://www.villa-paris.com/,villa-paris.com,"среда:[08:00–20:00], четверг:[08:00–20:00], пятница:[08:00–20:00], суббота:[08:00–20:00], воскресенье:[Закрыто], понедельник:[08:00–20:00], вторник:[08:00–20:00]",,1003744070029386890,ChIJleVSnhBu5kcRiqSB4-kD7g0,/g/1hc4mlyty,8FW4V982+HW,https://www.google.com/search?kgmid=/g/1hc4mlyty,villaparis75004@gmail.com,"{""facebook"":""https://fr-fr.facebook.com/paris"",""twitter"":""https://twitter.com/paris""}",https://fr-fr.facebook.com/paris,,https://twitter.com/paris,
The Rexy Paris,"9 Rue de la Grande Truanderie, 75001 Paris",9 Rue de la Grande Truanderie,75001 Paris,Ночной клуб,06 24 99 90 43,"06 24 99 90 43, +33 6 24 99 90 43",YES,342,3.6,https://search.google.com/local/reviews?placeid=ChIJPbR7axlu5kcR_I-jvyiRKNc&q=night+club+in+Paris&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=15503801321422819324,48.8627093,2.3491074,,,"среда:[04:00–10:30], четверг:[04:00–10:30], пятница:[04:00–10:30], суббота:[00:00–12:00], воскресенье:[00:00–12:00], понедельник:[04:00–10:30], вторник:[Закрыто]",,15503801321422819324,ChIJPbR7axlu5kcR_I-jvyiRKNc,/g/1tg9gw65,8FW4V87X+3J,https://www.google.com/search?kgmid=/g/1tg9gw65,lerexyparis@gmail.com,"{""yelp"":""https://www.yelp.com/biz/le-rexy-paris"",""facebook"":""https://www.facebook.com/rexyparisofficiel/""}",https://www.facebook.com/rexyparisofficiel/,,,https://www.yelp.com/biz/le-rexy-paris
Palais Maillot,"2 Pl de la Pte Maillot, 75017 Paris",2 Pl de la Pte Maillot,75017 Paris,"Диско-клуб,Место проведения мероприятий",06 23 09 02 37,"06 23 09 02 37, +33 6 23 09 02 37",NO,2506,4.4,https://search.google.com/local/reviews?placeid=ChIJ01fSPItv5kcR4fNzEhvimc0&q=night+club+in+Paris&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=14815121055113540577,48.8789538,2.282495,http://www.palaismaillot.fr/,palaismaillot.fr,"среда:[Закрыто], четверг:[Закрыто], пятница:[23:45–05:30], суббота:[23:45–05:30], воскресенье:[Закрыто], понедельник:[Закрыто], вторник:[Закрыто]",,14815121055113540577,ChIJ01fSPItv5kcR4fNzEhvimc0,/g/1jmcmrz3n,8FW4V7HJ+HX,https://www.google.com/search?kgmid=/g/1jmcmrz3n,,"{""facebook"":""https://www.facebook.com/palaismaillotparis/"",""twitter"":""https://twitter.com/palaismaillot"",""instagram"":""https://www.instagram.com/mickaelllorca/""}",https://www.facebook.com/palaismaillotparis/,https://www.instagram.com/mickaelllorca/,https://twitter.com/palaismaillot,
Le Duplex,"2 bis Av. Foch, 75116 Paris",2 bis Av. Foch,75116 Paris,"Ночной клуб,Бар,Клуб",01 45 00 45 00,"01 45 00 45 00, +33 1 45 00 45 00",YES,2765,2.5,https://search.google.com/local/reviews?placeid=ChIJp7wGa-xv5kcRHl_5cQQA_Ek&q=night+club+in+Paris&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=5331136077991862046,48.8736629,2.2925442,https://www.leduplex.com/,leduplex.com,"среда:[00:00–06:00], четверг:[00:00–06:00], пятница:[00:00–06:00], суббота:[00:00–06:00], воскресенье:[00:00–06:00], понедельник:[00:00–06:00], вторник:[00:00–06:00]",,5331136077991862046,ChIJp7wGa-xv5kcRHl_5cQQA_Ek,/g/1tfqq841,8FW4V7FV+F2,https://www.google.com/search?kgmid=/g/1tfqq841,,"{""facebook"":""https://www.facebook.com/duplexparisclub/"",""twitter"":""https://twitter.com/lafourchettemmm""}",https://www.facebook.com/duplexparisclub/,,https://twitter.com/lafourchettemmm,
Movida Club,"32 Av. Corentin Cariou, 75019 Paris",32 Av. Corentin Cariou,75019 Paris,"Ночной клуб,Бар,Концертный зал,Ресторан",06 68 81 35 34,"06 68 81 35 34, +33 6 68 81 35 34",YES,600,3.7,https://search.google.com/local/reviews?placeid=ChIJGY8-g4Bt5kcRPmM0GD-uwEM&q=night+club+in+Paris&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=4882093582081876798,48.8972242,2.3857315999999997,https://shotgun.live/fr/venues/movida-club-paris,shotgun.live,"среда:[24 часа в сутки], четверг:[24 часа в сутки], пятница:[24 часа в сутки], суббота:[24 часа в сутки], воскресенье:[24 часа в сутки], понедельник:[24 часа в сутки], вторник:[24 часа в сутки]",,4882093582081876798,ChIJGY8-g4Bt5kcRPmM0GD-uwEM,/g/11shv4j64c,8FW4V9WP+V7,https://www.google.com/search?kgmid=/g/11shv4j64c,"movida@s2paris-events.com,lucas@shotgun.live,nicolas@shotgun.live","{""instagram"":""https://www.instagram.com/shotgunexperience"",""facebook"":""https://www.facebook.com/shotguntheapp"",""spotify"":""https://open.spotify.com/user/bcyeq541kbgzp0yhd949c3yk9"",""linkedin"":""https://www.linkedin.com/company/shotgun-"",""youtube"":""https://www.youtube.com/feed/history?utm_source=pp""}",https://www.facebook.com/shotguntheapp,https://www.instagram.com/shotgunexperience,,
Le Klub,"14 Rue St Denis, 75001 Paris",14 Rue St Denis,75001 Paris,Ночной клуб,01 42 71 49 30,"01 42 71 49 30, +33 1 42 71 49 30",YES,197,3.8,https://search.google.com/local/reviews?placeid=ChIJTRUb_B5u5kcRRlxRefhPsHY&q=night+club+in+Paris&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=8552423620982430790,48.859110199999996,2.3479063,http://www.leklub-paris.com/,leklub-paris.com,,,8552423620982430790,ChIJTRUb_B5u5kcRRlxRefhPsHY,/g/1vl5g2c2,8FW4V85X+J5,https://www.google.com/search?kgmid=/g/1vl5g2c2,,"{""facebook"":""https://www.facebook.com/ripitencore/posts/962913385834887"",""twitter"":""https://twitter.com/le_klub"",""instagram"":""https://instagram.com/le_klub/"",""yelp"":""https://www.yelp.com/biz/le-klub-paris""}",https://www.facebook.com/ripitencore/posts/962913385834887,https://instagram.com/le_klub/,https://twitter.com/le_klub,https://www.yelp.com/biz/le-klub-paris
Le Roméo,"71 Bd Saint-Germain, 75005 Paris",71 Bd Saint-Germain,75005 Paris,Диско-клуб,07 56 86 46 91,"07 56 86 46 91, +33 7 56 86 46 91",YES,490,3.3,https://search.google.com/local/reviews?placeid=ChIJba1XT-dx5kcRW70l5s4e_rU&q=night+club+in+Paris&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=13113953038922792283,48.850558799999995,2.3450105,http://www.romeoclub.fr/,romeoclub.fr,"среда:[Закрыто], четверг:[Закрыто], пятница:[23:45–05:30], суббота:[23:45–05:30], воскресенье:[Закрыто], понедельник:[Закрыто], вторник:[Закрыто]",,13113953038922792283,ChIJba1XT-dx5kcRW70l5s4e_rU,/g/1v3kgtvj,8FW4V82W+62,https://www.google.com/search?kgmid=/g/1v3kgtvj,,"{""instagram"":""https://www.instagram.com/explore/locations/423688719/le-romeo-paris/nearby/"",""facebook"":""https://www.facebook.com/romeoparisclub/"",""youtube"":""https://www.youtube.com/@romeoclubparis"",""yelp"":""https://www.yelp.com/biz/roméo-paris-2""}",https://www.facebook.com/romeoparisclub/,https://www.instagram.com/explore/locations/423688719/le-romeo-paris/nearby/,,https://www.yelp.com/biz/roméo-paris-2
Cova Club Paris,"67 Rue Pierre Charron, 75008 Paris",67 Rue Pierre Charron,75008 Paris,"Ночной клуб,Танцевальный зал",06 84 83 23 84,"06 84 83 23 84, +33 6 84 83 23 84",YES,762,3.9,https://search.google.com/local/reviews?placeid=ChIJUdJjFuxv5kcROFaiPSADrUc&q=night+club+in+Paris&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=5164787784671712824,48.8702408,2.3044997,https://covaparis.fr/,covaparis.fr,"среда:[Закрыто], четверг:[23:30–05:30], пятница:[23:30–05:30], суббота:[23:30–05:30], воскресенье:[Закрыто], понедельник:[Закрыто], вторник:[Закрыто]",,5164787784671712824,ChIJUdJjFuxv5kcROFaiPSADrUc,/g/11rp35p4jp,8FW4V8C3+3Q,https://www.google.com/search?kgmid=/g/11rp35p4jp,reservation@covaclubparis.fr,"{""facebook"":""https://www.facebook.com/covaclub/"",""instagram"":""https://www.instagram.com/covaclubparis/""}",https://www.facebook.com/covaclub/,https://www.instagram.com/covaclubparis/,,
