Name,Fulladdress,Street,Municipality,Categories,Phone,Phones,Claimed,Review Count,Average Rating,Review URL,Google Maps URL,Latitude,Longitude,Website,Domain,Opening hours,Featured image,Cid,Place Id,Kgmid,Plus code,Google Knowledge URL,Email,Social Medias,Facebook,Instagram,Twitter,Yelp
LE FRIGO CLUB,"2 Rue des Trois Journées, 31000 Toulouse",2 Rue des Trois Journées,31000 Toulouse,Диско-клуб,07 80 97 17 17,"07 80 97 17 17, +33 7 80 97 17 17",YES,170,2.9,"https://search.google.com/local/reviews?placeid=ChIJN_9JWpm8rhIRZG6vm32E5UM&q=night+club+in+Toulouse,+France&authuser=0&hl=ru&gl=FR",https://www.google.com/maps?cid=4892462245225655908,43.6047563,1.4483119,https://www.facebook.com/lefrigoclub/?modal=admin_todo_tour,facebook.com,,https://lh5.googleusercontent.com/p/AF1QipMuMzdoDtRkTsPEnoIAO4MHrC6xRzKN8rjoH3qq=w216-h92-k-no,4892462245225655908,ChIJN_9JWpm8rhIRZG6vm32E5UM,/g/11ghpp7n0_,8FM3JC3X+W8,https://www.google.com/search?kgmid=/g/11ghpp7n0_,,"{""facebook"":""https://www.facebook.com/lefrigoclub/""}",https://www.facebook.com/lefrigoclub/,,,
L'Ecrin,"1 Rue Léonce Castelbou, 31000 Toulouse",1 Rue Léonce Castelbou,31000 Toulouse,"Бар,Клуб для взрослых,Арт-кафе,Театр",07 80 94 66 66,"07 80 94 66 66, +33 7 80 94 66 66",YES,2001,5,"https://search.google.com/local/reviews?placeid=ChIJ_-Eh5V27rhIRAval1rrR_FQ&q=night+club+in+Toulouse,+France&authuser=0&hl=ru&gl=FR",https://www.google.com/maps?cid=6124000193712354818,43.6099629,1.4380747,https://www.ecrin-strip-club.com/,ecrin-strip-club.com,"среда:[00:00–07:00], четверг:[00:00–07:00], пятница:[00:00–07:00], суббота:[00:00–07:00], воскресенье:[00:00–07:00], понедельник:[00:00–07:00], вторник:[00:00–07:00]",https://lh5.googleusercontent.com/p/AF1QipMD1ynWTAylSwzS4aVqh6QUizYAukxmD9lLWQLC=w138-h92-k-no,6124000193712354818,ChIJ_-Eh5V27rhIRAval1rrR_FQ,/g/1tdjmp_r,8FM3JC5Q+X6,https://www.google.com/search?kgmid=/g/1tdjmp_r,contact@ecrin-strip-club.com,"{""instagram"":""https://www.instagram.com/p/dc8gwwtoypu/"",""facebook"":""https://www.facebook.com/jbs003/"",""youtube"":""https://www.youtube.com/channel/ucosjwsde44rnxsewb9vzoca"",""tiktok"":""https://www.tiktok.com/@ecrinstripclub.31""}",https://www.facebook.com/jbs003/,https://www.instagram.com/p/dc8gwwtoypu/,,
ICE CLUB,"11 Rue des Gestes, 31000 Toulouse",11 Rue des Gestes,31000 Toulouse,Диско-клуб,05 61 38 72 20,"05 61 38 72 20, +33 5 61 38 72 20",YES,501,2.6,"https://search.google.com/local/reviews?placeid=ChIJ4ctfdWK7rhIROLOjYNb0eRI&q=night+club+in+Toulouse,+France&authuser=0&hl=ru&gl=FR",https://www.google.com/maps?cid=1331364366446211896,43.6030843,1.4430956,,,"среда:[00:30–07:00], четверг:[00:30–07:00], пятница:[00:30–07:00], суббота:[00:30–07:00], воскресенье:[00:30–07:00], понедельник:[00:30–07:00], вторник:[00:30–07:00]",https://lh5.googleusercontent.com/p/AF1QipMGqdJcNvkQdxvej5KurgOUjd6Itkhg9AUNQNzT=w160-h92-k-no,1331364366446211896,ChIJ4ctfdWK7rhIROLOjYNb0eRI,/g/1q5bw1yh_,8FM3JC3V+66,https://www.google.com/search?kgmid=/g/1q5bw1yh_,,"{""facebook"":""https://www.facebook.com/iceclubfr/"",""yelp"":""https://www.yelp.com/biz/ice-club-toulouse""}",https://www.facebook.com/iceclubfr/,,,https://www.yelp.com/biz/ice-club-toulouse
O Club By Charleston,"101 Rte d'Agde, 31500 Toulouse",101 Rte d'Agde,31500 Toulouse,Ночной клуб,05 61 26 44 93,"05 61 26 44 93, +33 5 61 26 44 93",YES,561,3.2,"https://search.google.com/local/reviews?placeid=ChIJT6IcHM-8rhIRDHfpEvGKc3I&q=night+club+in+Toulouse,+France&authuser=0&hl=ru&gl=FR",https://www.google.com/maps?cid=8247088110654551820,43.629211399999996,1.4806253999999999,http://www.oclub-toulouse.com/,oclub-toulouse.com,"среда:[Закрыто], четверг:[Закрыто], пятница:[00:00–06:00], суббота:[00:00–06:00], воскресенье:[00:00–06:00], понедельник:[Закрыто], вторник:[Закрыто]",https://lh5.googleusercontent.com/p/AF1QipPEIT2tXuxIakNTTigzJ9P_jK0WZQSgHP1AL4I=w138-h92-k-no,8247088110654551820,ChIJT6IcHM-8rhIRDHfpEvGKc3I,/g/12h_jnjhg,8FM3JFHJ+M7,https://www.google.com/search?kgmid=/g/12h_jnjhg,contact@oclub-toulouse.com,"{""instagram"":""https://www.instagram.com/oclubofficiel/?hl=fr"",""facebook"":""https://www.facebook.com/oclubtoulouse""}",https://www.facebook.com/oclubtoulouse,https://www.instagram.com/oclubofficiel/?hl=fr,,
Le Purple,"2 Rue Castellane, 31000 Toulouse",2 Rue Castellane,31000 Toulouse,Ночной клуб,06 14 26 34 07,"06 14 26 34 07, +33 6 14 26 34 07",YES,430,2.6,"https://search.google.com/local/reviews?placeid=ChIJExu5DJm8rhIRPG4pM8FfhHA&q=night+club+in+Toulouse,+France&authuser=0&hl=ru&gl=FR",https://www.google.com/maps?cid=8107710512565415484,43.6047034,1.4502278,https://instagram.com/le_purple_l_institution?igshid=YmMyMTA2M2Y=,instagram.com,"среда:[00:00–05:00], четверг:[00:00–06:00], пятница:[00:00–06:00], суббота:[00:00–06:00], воскресенье:[Закрыто], понедельник:[Закрыто], вторник:[Закрыто]",https://lh5.googleusercontent.com/p/AF1QipOmd-S64fDzLYoQPkrMAvfQwLfLbA6g8ifIs14b=w122-h92-k-no,8107710512565415484,ChIJExu5DJm8rhIRPG4pM8FfhHA,/g/1vzn2r35,8FM3JF32+V3,https://www.google.com/search?kgmid=/g/1vzn2r35,,"{""yelp"":""https://www.yelp.com/biz/le-purple-toulouse-2"",""facebook"":""https://www.facebook.com/le-purple-linstitution-336742603151093/""}",https://www.facebook.com/le-purple-linstitution-336742603151093/,,,https://www.yelp.com/biz/le-purple-toulouse-2
Californication Club,"23 Rue Nicolas Bachelier, 31000 Toulouse",23 Rue Nicolas Bachelier,31000 Toulouse,Диско-клуб,XlrkZ-e9DreukdUPkoCouQ4,,NO,314,3.4,"https://search.google.com/local/reviews?placeid=ChIJG28Aypm8rhIRL7o739vVSig&q=night+club+in+Toulouse,+France&authuser=0&hl=ru&gl=FR",https://www.google.com/maps?cid=2903368050113493551,43.6064465,1.4520796999999999,,,,https://lh5.googleusercontent.com/p/AF1QipMS4koOm5_3M8H45kWMFoGZpKkNLQRHnOhAop4N=w80-h106-k-no,2903368050113493551,ChIJG28Aypm8rhIRL7o739vVSig,/g/11b7rttj_9,8FM3JF42+HR,https://www.google.com/search?kgmid=/g/11b7rttj_9,,"{""yelp"":""https://www.yelp.com/biz/californication-toulouse""}",,,,https://www.yelp.com/biz/californication-toulouse
Le Bazar,"11 Rue des Puits Clos, 31000 Toulouse",11 Rue des Puits Clos,31000 Toulouse,"Диско-клуб,Ночной клуб",05 61 12 07 18,"05 61 12 07 18, +33 5 61 12 07 18",YES,509,2.9,"https://search.google.com/local/reviews?placeid=ChIJD2CNdZ28rhIRCbwiWGx7cWM&q=night+club+in+Toulouse,+France&authuser=0&hl=ru&gl=FR",https://www.google.com/maps?cid=7165644187388525577,43.6020664,1.444445,,,"среда:[01:00–07:00], четверг:[01:00–07:00], пятница:[01:00–07:00], суббота:[01:00–07:00], воскресенье:[01:00–06:00], понедельник:[01:00–06:00], вторник:[01:00–06:00]",https://lh5.googleusercontent.com/p/AF1QipNMTCaqkTPNFOsjrEcHLu_dMmXfPH9a-x0wtiVH=w80-h106-k-no,7165644187388525577,ChIJD2CNdZ28rhIRCbwiWGx7cWM,/g/1w0nbdbl,8FM3JC2V+RQ,https://www.google.com/search?kgmid=/g/1w0nbdbl,,"{""yelp"":""https://www.yelp.com/biz/le-bazar-toulouse"",""facebook"":""https://facebook.com/126530054099086""}",https://facebook.com/126530054099086,,,https://www.yelp.com/biz/le-bazar-toulouse
Le Nine Club,"26 All. des Foulques, 31200 Toulouse",26 All. des Foulques,31200 Toulouse,Ночной клуб,06 70 24 43 70,"06 70 24 43 70, +33 6 70 24 43 70",YES,310,2.7,"https://search.google.com/local/reviews?placeid=ChIJQSy_FTKlrhIRXd1bAgedFTU&q=night+club+in+Toulouse,+France&authuser=0&hl=ru&gl=FR",https://www.google.com/maps?cid=3825136111951011165,43.6520091,1.421193,https://www.lenineclub.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=4088532533210112158,lenineclub.com,"среда:[Закрыто], четверг:[Закрыто], пятница:[23:00–00:00], суббота:[00:00–06:00], воскресенье:[00:00–06:00], понедельник:[Закрыто], вторник:[Закрыто]",https://lh5.googleusercontent.com/p/AF1QipPoP11-uj-evXA1xrl3NNBAgvbaui2ur34hq1-s=w138-h92-k-no,3825136111951011165,ChIJQSy_FTKlrhIRXd1bAgedFTU,/g/11q99qjd7j,8FM3MC2C+RF,https://www.google.com/search?kgmid=/g/11q99qjd7j,lenineclub@gmail.com,"{""instagram"":""https://www.instagram.com/sneakify_fr/"",""facebook"":""https://www.facebook.com/laterrazzatls""}",https://www.facebook.com/laterrazzatls,https://www.instagram.com/sneakify_fr/,,
DOWNTOWN FACTORY,"14 Bd Pierre-Paul Riquet, 31000 Toulouse",14 Bd Pierre-Paul Riquet,31000 Toulouse,"Диско-клуб,Бар,Музыкальный клуб",XlrkZ-e9DreukdUPkoCouQ4,,NO,1709,3.2,"https://search.google.com/local/reviews?placeid=ChIJrWycM5G8rhIRDifdLWhqryE&q=night+club+in+Toulouse,+France&authuser=0&hl=ru&gl=FR",https://www.google.com/maps?cid=2427275719854597902,43.6041667,1.4563888999999999,http://www.downtown-factory.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=6784653510103554542,downtown-factory.com,"среда:[00:00–07:00], четверг:[00:00–07:00], пятница:[00:00–07:00], суббота:[00:00–07:00], воскресенье:[Закрыто], понедельник:[Закрыто], вторник:[Закрыто]",https://lh5.googleusercontent.com/p/AF1QipP6XyFDUXw9SDtm78zq-pnZJbPPScigSTJWVgQy=w122-h92-k-no,2427275719854597902,ChIJrWycM5G8rhIRDifdLWhqryE,/g/11g9jwhgzd,8FM3JF34+MH,https://www.google.com/search?kgmid=/g/11g9jwhgzd,,"{""facebook"":""https://www.facebook.com/downtownfactory/""}",https://www.facebook.com/downtownfactory/,,,
Karma Club,"27 Bd de la Gare, 31500 Toulouse",27 Bd de la Gare,31500 Toulouse,Диско-клуб,06 95 33 62 34,"06 95 33 62 34, +33 6 95 33 62 34",YES,41,4.4,"https://search.google.com/local/reviews?placeid=ChIJn3fAa-S9rhIRxoNNPn7Byxk&q=night+club+in+Toulouse,+France&authuser=0&hl=ru&gl=FR",https://www.google.com/maps?cid=1858792019175769030,43.6049916,1.4573458,https://instagram.com/karmaclubtoulouse?igshid=YmMyMTA2M2Y=,instagram.com,"среда:[Закрыто], четверг:[Закрыто], пятница:[00:00–06:00], суббота:[00:00–06:00], воскресенье:[19:00–00:00], понедельник:[00:00–03:00], вторник:[Закрыто]",https://lh5.googleusercontent.com/p/AF1QipPVHo7etxSLcdOAcYAibOvC-FPeS_-OzJrI_k82=w80-h106-k-no,1858792019175769030,ChIJn3fAa-S9rhIRxoNNPn7Byxk,/g/11j37lpwh_,8FM3JF34+XW,https://www.google.com/search?kgmid=/g/11j37lpwh_,,,,,,
