Name,Fulladdress,Street,Municipality,Categories,Phone,Phones,Claimed,Review Count,Average Rating,Review URL,Google Maps URL,Latitude,Longitude,Website,Domain,Opening hours,Featured image,Cid,Place Id,Kgmid,Plus code,Google Knowledge URL,Email,Social Medias,Facebook,Instagram,Twitter,Yelp
XOYO Birmingham,"Lower Trinity St, Deritend, Birmingham B9 4AG, Великобритания",Lower Trinity St,Deritend,Ночной клуб,+44 121 771 4391,"0121 771 4391, +44 121 771 4391",YES,175,3.7,https://search.google.com/local/reviews?placeid=ChIJE2R63jK9cEgRkehQ1HLAKOk&q=birmingham+night+club&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=16800890009326512273,52.475038,-1.8809493,https://xoyobirmingham.co.uk/,xoyobirmingham.co.uk,,https://lh5.googleusercontent.com/p/AF1QipN30TycCXT3MJLgD1AVPU-d7zqnqI1TMD0Gekjv=w122-h92-k-no,16800890009326512273,ChIJE2R63jK9cEgRkehQ1HLAKOk,/g/11v9ypf04b,9C4WF4G9+2J,https://www.google.com/search?kgmid=/g/11v9ypf04b,"xoyobirmingham@tegvenues.com,press@tegvenues.com","{""twitter"":""https://twitter.com/xoyobirmingham"",""instagram"":""https://www.instagram.com/xoyobirmingham"",""facebook"":""https://www.facebook.com/events/1679673135947459/""}",https://www.facebook.com/events/1679673135947459/,https://www.instagram.com/xoyobirmingham,https://twitter.com/xoyobirmingham,
Popworld - Birmingham,"55 Broad St, Birmingham B1 2HJ, Великобритания",55 Broad St,Birmingham,"Ночной клуб,Бар,Комната отдыха",+44 121 616 2957,"0121 616 2957, +44 121 616 2957",YES,869,4.5,https://search.google.com/local/reviews?placeid=ChIJt0etJ_S8cEgRtwWAImsolEw&q=birmingham+night+club&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=5518079884041127351,52.477185,-1.9121865,https://www.popworldparty.co.uk/birmingham?utm_source=gmb&utm_medium=organic&utm_campaign=homepage,popworldparty.co.uk,"среда:[22:00–03:00], четверг:[19:30–03:00], пятница:[21:00–03:00], суббота:[15:00–03:00], воскресенье:[Закрыто], понедельник:[22:00–03:00], вторник:[22:00–03:00]",https://lh5.googleusercontent.com/p/AF1QipPZs4ePJuCBp7QT5ExKQz3QzbmAeGkfPVEBJzEg=w122-h92-k-no,5518079884041127351,ChIJt0etJ_S8cEgRtwWAImsolEw,/g/12q4qjwcn,9C4WF3GQ+V4,https://www.google.com/search?kgmid=/g/12q4qjwcn,"datarequest@stonegatepubs.com,c.datarequest@stonegatepubs.com,stonegateenquiries@stonegategroup.co.uk,datarequest@stonegategroup.co.uk,customer.feedback@stonegategroup.co.uk,customer.feedback@stonegatepubs.com,appsupport@stonegatepubs.com,hello@mixr.co.uk","{""instagram"":""https://www.instagram.com/popworldbrum"",""facebook"":""https://facebook.com/stonegatepubs"",""twitter"":""https://twitter.com/stonegate_group"",""spotify"":""https://open.spotify.com/user/popworldbaby?si=f36b12027a224e83&nd=1&dlsi=aa5703709a004d1f"",""linkedin"":""https://www.linkedin.com/company/stonegategroup""}",https://facebook.com/stonegatepubs,https://www.instagram.com/popworldbrum,https://twitter.com/stonegate_group,
Tunnel Club Birmingham,"Livery St, Birmingham B3 1HL, Великобритания",Livery St,Birmingham,Ночной клуб,+44 121 233 0310,"0121 233 0310, +44 121 233 0310",YES,119,3.8,https://search.google.com/local/reviews?placeid=ChIJc2nrNHAjZUERTgt7cJf78uE&q=birmingham+night+club&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=16281352230743509838,52.4853886,-1.9025705,https://www.tunnelclubbirmingham.co.uk/,tunnelclubbirmingham.co.uk,"среда:[Закрыто], четверг:[Закрыто], пятница:[22:00–04:00], суббота:[22:00–04:00], воскресенье:[Закрыто], понедельник:[Закрыто], вторник:[Закрыто]",https://lh5.googleusercontent.com/p/AF1QipNTQ8DbpgfNWOXytlj9gSBtqkxze2RtAzCQTKVm=w122-h92-k-no,16281352230743509838,ChIJc2nrNHAjZUERTgt7cJf78uE,/g/1q6j6fjy3,9C4WF3PW+5X,https://www.google.com/search?kgmid=/g/1q6j6fjy3,"tunnelclub@outlook.com,Nathan@urbanagency.co.uk","{""facebook"":""https://www.facebook.com/tunnelclubbirmingham/"",""twitter"":""https://twitter.com/tunnelclub""}",https://www.facebook.com/tunnelclubbirmingham/,,https://twitter.com/tunnelclub,
Rosies - Birmingham,"259-262 Broad St, Birmingham B1 2HF, Великобритания",259-262 Broad St,Birmingham,"Ночной клуб,Бар,Комната отдыха",+44 121 632 4936,"0121 632 4936, +44 121 632 4936",YES,2337,4.6,https://search.google.com/local/reviews?placeid=ChIJg_bJOvS8cEgR03gQKEcSHqA&q=birmingham+night+club&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=11537679392193935571,52.4772177,-1.9110087,https://www.rosiesclubs.co.uk/birmingham?utm_source=gmb&utm_medium=organic&utm_campaign=homepage,rosiesclubs.co.uk,"среда:[Закрыто], четверг:[19:30–04:00], пятница:[23:00–04:00], суббота:[18:00–04:00], воскресенье:[Закрыто], понедельник:[Закрыто], вторник:[Закрыто]",https://lh5.googleusercontent.com/p/AF1QipNzQ_IKxQv9KZ_PgqBHbQurh4Q-WFJSebTiWWPR=w130-h92-k-no,11537679392193935571,ChIJg_bJOvS8cEgR03gQKEcSHqA,/g/11fy4zh2wn,9C4WF3GQ+VH,https://www.google.com/search?kgmid=/g/11fy4zh2wn,"datarequest@stonegatepubs.com,c.datarequest@stonegatepubs.com,stonegateenquiries@stonegategroup.co.uk,datarequest@stonegategroup.co.uk,customer.feedback@stonegategroup.co.uk,customer.feedback@stonegatepubs.com,appsupport@stonegatepubs.com,hello@mixr.co.uk","{""yelp"":""https://www.yelp.com/biz/rosies-birmingham"",""facebook"":""https://facebook.com/stonegatepubs"",""twitter"":""https://twitter.com/stonegate_group"",""instagram"":""https://www.instagram.com/rosiesbirmingham"",""spotify"":""https://open.spotify.com/user/popworldbaby?si=f36b12027a224e83&nd=1&dlsi=aa5703709a004d1f"",""linkedin"":""https://www.linkedin.com/company/stonegategroup""}",https://facebook.com/stonegatepubs,https://www.instagram.com/rosiesbirmingham,https://twitter.com/stonegate_group,https://www.yelp.com/biz/rosies-birmingham
BUNA Lounge & NightClub,"11 Exeter St, Birmingham B1 1NH, Великобритания",11 Exeter St,Birmingham,Ночной клуб,+44 7393 076076,"07393 076076, +44 7393 076076",YES,44,3.5,https://search.google.com/local/reviews?placeid=ChIJ9dU_wZC9cEgROwm2z4pfifE&q=birmingham+night+club&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=17404547284744931643,52.473942099999995,-1.901665,,,"среда:[20:00–04:00], четверг:[09:00–17:00], пятница:[Закрыто], суббота:[Закрыто], воскресенье:[Закрыто], понедельник:[Закрыто], вторник:[Закрыто]",https://lh5.googleusercontent.com/p/AF1QipPEgDzZhPzzGJX17CQutttNM8HfzhbFdeViLbGq=w80-h106-k-no,17404547284744931643,ChIJ9dU_wZC9cEgROwm2z4pfifE,/g/11rx30h_0d,9C4WF3FX+H8,https://www.google.com/search?kgmid=/g/11rx30h_0d,,"{""facebook"":""https://www.facebook.com/bunabirmingham/reels/"",""instagram"":""https://www.instagram.com/bunaclubbirmingham/reel/c_d8cwpi7xa/"",""youtube"":""https://www.youtube.com/channel/uc4y8kociilvxu6wywsexoeg/featured""}",https://www.facebook.com/bunabirmingham/reels/,https://www.instagram.com/bunaclubbirmingham/reel/c_d8cwpi7xa/,,
Mango Night Club,"42 Bristol St, Birmingham B5 7AA, Великобритания",42 Bristol St,Birmingham,Ночной клуб,+44 121 666 6333,"0121 666 6333, +44 121 666 6333",YES,127,3.7,https://search.google.com/local/reviews?placeid=ChIJsftRcvG9cEgRbyKkM4T4gCk&q=birmingham+night+club&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=2990663399259775599,52.472705999999995,-1.8992014,,,"среда:[Закрыто], четверг:[Закрыто], пятница:[21:00–04:00], суббота:[21:00–04:00], воскресенье:[21:00–04:00], понедельник:[Закрыто], вторник:[Закрыто]",https://lh5.googleusercontent.com/p/AF1QipPJAPUGDG8pbN6Kvm6zQKFO6UIMwYmcGHGIM4BF=w122-h92-k-no,2990663399259775599,ChIJsftRcvG9cEgRbyKkM4T4gCk,/g/11rk4gmkdr,9C4WF4F2+38,https://www.google.com/search?kgmid=/g/11rk4gmkdr,,,,,,
MELVICS MEMBER LOUNGE,"38-41 Hampton St, Birmingham B19 3LS, Великобритания",38-41 Hampton St,Birmingham,"Диско-клуб,Коктейль-бар,Кальянная",+44 7495 063504,"07495 063504, +44 7495 063504",YES,41,4.5,https://search.google.com/local/reviews?placeid=ChIJKUF0eDi9cEgRiBya1uOAe20&q=birmingham+night+club&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=7889040888315911304,52.488370499999995,-1.9018606,,,"среда:[Закрыто], четверг:[23:00–04:00], пятница:[23:00–04:00], суббота:[23:00–04:00], воскресенье:[23:00–04:00], понедельник:[Закрыто], вторник:[Закрыто]",https://lh5.googleusercontent.com/p/AF1QipP_hIYEkNV_WuxpOq-EFcd88BEFVk3EygQ4wg6J=w138-h92-k-no,7889040888315911304,ChIJKUF0eDi9cEgRiBya1uOAe20,/g/11rs18mfcg,9C4WF3QX+87,https://www.google.com/search?kgmid=/g/11rs18mfcg,meivicslounge45000@gmail.com,"{""instagram"":""https://www.instagram.com/mmemberlounge/"",""facebook"":""https://www.facebook.com/profile.php/?id=100083533772402""}",https://www.facebook.com/profile.php/?id=100083533772402,https://www.instagram.com/mmemberlounge/,,
Walkabout - Birmingham,"Langley Buildings, Regency Wharf, Birmingham B1 2DS, Великобритания",Langley Buildings,Regency Wharf,"Ночной клуб,Спорт-бар,Паб,Ресторан",+44 121 632 5712,"0121 632 5712, +44 121 632 5712",YES,1955,4,https://search.google.com/local/reviews?placeid=ChIJu0QMQPS8cEgRAxhNamsEmu4&q=birmingham+night+club&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=17193059386831738883,52.477919799999995,-1.9104998999999998,https://www.walkaboutbars.co.uk/birmingham?utm_source=gmb&utm_medium=organic&utm_campaign=homepage,walkaboutbars.co.uk,"среда:[12:00–03:00], четверг:[12:00–02:00], пятница:[12:00–03:00], суббота:[11:00–03:00], воскресенье:[12:00–02:00], понедельник:[12:00–02:00], вторник:[12:00–02:00]",https://lh5.googleusercontent.com/p/AF1QipMwN1-xFHi1E86gb_VM_zMegGiFC5sEtk5KY_al=w135-h92-k-no,17193059386831738883,ChIJu0QMQPS8cEgRAxhNamsEmu4,/g/1tgclr6f,9C4WF3HQ+5R,https://www.google.com/search?kgmid=/g/1tgclr6f,"walkabout.birmingham@stonegategroup.co.uk,datarequest@stonegatepubs.com,c.datarequest@stonegatepubs.com,stonegateenquiries@stonegategroup.co.uk,datarequest@stonegategroup.co.uk,customer.feedback@stonegategroup.co.uk,customer.feedback@stonegatepubs.com,appsupport@stonegatepubs.com,hello@mixr.co.uk","{""yelp"":""https://www.yelp.com/biz/walkabout-birmingham"",""facebook"":""https://facebook.com/stonegatepubs"",""twitter"":""https://twitter.com/stonegate_group"",""instagram"":""https://www.instagram.com/walkabout_birmingham"",""linkedin"":""https://www.linkedin.com/company/stonegategroup""}",https://facebook.com/stonegatepubs,https://www.instagram.com/walkabout_birmingham,https://twitter.com/stonegate_group,https://www.yelp.com/biz/walkabout-birmingham
Nightingale Club,"18 Kent St, Birmingham B5 6RD, Великобритания",18 Kent St,Birmingham,"Гей- и лесби-клуб,Бар,Ночной клуб",+44 121 622 1718,"0121 622 1718, +44 121 622 1718",NO,286,3.4,https://search.google.com/local/reviews?placeid=ChIJPds1XmK8cEgRHgOhLPQ8XtU&q=birmingham+night+club&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=15374793197307888414,52.4726849,-1.8958184,https://www.nightingaleclub.co.uk/,nightingaleclub.co.uk,"среда:[Закрыто], четверг:[22:00–04:00], пятница:[22:00–04:00], суббота:[22:00–06:00], воскресенье:[Закрыто], понедельник:[Закрыто], вторник:[Закрыто]",https://lh5.googleusercontent.com/p/AF1QipMOyBsA9D__EdOX07mqYeyshxC32RpGMNA4uhkp=w163-h92-k-no,15374793197307888414,ChIJPds1XmK8cEgRHgOhLPQ8XtU,/m/0lp_wh1,9C4WF4F3+3M,https://www.google.com/search?kgmid=/m/0lp_wh1,admin@nightingaleclub.co.uk,"{""facebook"":""https://www.facebook.com/thenightingaleclub/?ref=page_internal"",""twitter"":""https://twitter.com/nightingalebrum?lang=en"",""instagram"":""https://www.instagram.com/thenightingaleclub/?hl=en""}",https://www.facebook.com/thenightingaleclub/?ref=page_internal,https://www.instagram.com/thenightingaleclub/?hl=en,https://twitter.com/nightingalebrum?lang=en,
Lab11,"Trent St, Birmingham B5 5NL, Великобритания",Trent St,Birmingham,Ночной клуб,XfPjZ5CKHI2akdUP19HPoAs,,YES,214,3.2,https://search.google.com/local/reviews?placeid=ChIJdfHaKoe8cEgR1B-8Z3enxAw&q=birmingham+night+club&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=920044355173752788,52.4766738,-1.8867110999999999,http://lab11.co.uk/,lab11.co.uk,"среда:[10:00–18:00], четверг:[10:00–18:00], пятница:[21:00–04:00], суббота:[15:00–05:00], воскресенье:[Закрыто], понедельник:[10:00–16:00], вторник:[10:00–18:00]",https://lh5.googleusercontent.com/p/AF1QipPVo6RhhFr1LMzx5XIpUxtvDRg3yg99ewxezQPM=w122-h92-k-no,920044355173752788,ChIJdfHaKoe8cEgR1B-8Z3enxAw,/g/11b66kxgc1,9C4WF4G7+M8,https://www.google.com/search?kgmid=/g/11b66kxgc1,"info@LAB11.co.uk,info@lab11.co.uk","{""facebook"":""https://www.facebook.com/lab11venue"",""twitter"":""https://twitter.com/lab11warehouse"",""instagram"":""https://www.instagram.com/lab11warehouse/""}",https://www.facebook.com/lab11venue,https://www.instagram.com/lab11warehouse/,https://twitter.com/lab11warehouse,
