Name,Fulladdress,Street,Municipality,Categories,Phone,Phones,Claimed,Review Count,Average Rating,Review URL,Google Maps URL,Latitude,Longitude,Website,Domain,Opening hours,Featured image,Cid,Place Id,Kgmid,Plus code,Google Knowledge URL,Email,Social Medias,Facebook,Instagram,Twitter,Yelp
Le Cercle - Boite de nuit à Bordeaux,"29 - 35 Rue Esprit des Lois, 33000 Bordeaux",29 - 35 Rue Esprit des Lois,33000 Bordeaux,"Ночной клуб,Бар,Диско-клуб",06 69 92 38 66,"06 69 92 38 66, +33 6 69 92 38 66",YES,1664,3.6,https://search.google.com/local/reviews?placeid=ChIJ15rzbNonVQ0R-a3o37R2ASY&q=night+club+in+bordeaux&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=2738600567640731129,44.8430916,-0.5737154999999999,https://lecerclebordeaux.com/,lecerclebordeaux.com,"среда:[23:30–05:00], четверг:[23:30–05:00], пятница:[23:30–05:00], суббота:[23:30–05:00], воскресенье:[Закрыто], понедельник:[Закрыто], вторник:[Закрыто]",https://lh5.googleusercontent.com/p/AF1QipO8ovn9fCZ6gW1qrnyMi4kKbVoKIixWwrO9Uq8W=w138-h92-k-no,2738600567640731129,ChIJ15rzbNonVQ0R-a3o37R2ASY,/g/11cn8t04s0,8CPXRCVG+6G,https://www.google.com/search?kgmid=/g/11cn8t04s0,,"{""facebook"":""https://www.facebook.com/lecerclebordeaux"",""instagram"":""https://www.instagram.com/lecerclebordeaux""}",https://www.facebook.com/lecerclebordeaux,https://www.instagram.com/lecerclebordeaux,,
Le Theatro,"24 Rue de la Faïencerie, 33300 Bordeaux",24 Rue de la Faïencerie,33300 Bordeaux,Ночной клуб,06 73 49 37 18,"06 73 49 37 18, +33 6 73 49 37 18",YES,1187,3.9,https://search.google.com/local/reviews?placeid=ChIJbYVuro8oVQ0RvSiV0Fqyzgg&q=night+club+in+bordeaux&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=634640700622055613,44.8606994,-0.5562271,http://www.theatro-bordeaux.com/,theatro-bordeaux.com,"среда:[23:59–00:00], четверг:[00:00–06:00], пятница:[00:00–06:00], суббота:[00:00–06:00], воскресенье:[00:00–06:00], понедельник:[Закрыто], вторник:[Закрыто]",https://lh5.googleusercontent.com/p/AF1QipOELkgZP3UAKlJchtT0rmm582ZSAzA4Rrq7bzo=w144-h92-k-no,634640700622055613,ChIJbYVuro8oVQ0RvSiV0Fqyzgg,/g/1tls44jb,8CPXVC6V+7G,https://www.google.com/search?kgmid=/g/1tls44jb,contact@theatro-bordeaux.com,"{""facebook"":""https://www.facebook.com/theatrobordeaux/"",""instagram"":""https://www.instagram.com/theatro_bordeaux/"",""tiktok"":""https://www.tiktok.com/@theatrobordeaux?lang=fr""}",https://www.facebook.com/theatrobordeaux/,https://www.instagram.com/theatro_bordeaux/,,
Pachanga Club Bordeaux,"39 Quai de Paludate, 33800 Bordeaux",39 Quai de Paludate,33800 Bordeaux,Ночной клуб,06 11 72 75 61,"06 11 72 75 61, +33 6 11 72 75 61",YES,92,3.2,https://search.google.com/local/reviews?placeid=ChIJK13DU0YmVQ0Romu6bl_mq8I&q=night+club+in+bordeaux&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=14027558761929534370,44.8285704,-0.5536323,,,"среда:[Закрыто], четверг:[00:00–06:00], пятница:[00:00–06:00], суббота:[00:00–06:00], воскресенье:[00:00–06:00], понедельник:[Закрыто], вторник:[Закрыто]",https://lh5.googleusercontent.com/p/AF1QipONB0aoKIIg3jUNvOMFFonJVGrNG6m0fP6hrsse=w138-h92-k-no,14027558761929534370,ChIJK13DU0YmVQ0Romu6bl_mq8I,/g/1tfg4f27,8CPXRCHW+CG,https://www.google.com/search?kgmid=/g/1tfg4f27,,"{""facebook"":""https://www.facebook.com/lapachangadebordeaux/"",""instagram"":""https://www.instagram.com/lapachanga.paris/""}",https://www.facebook.com/lapachangadebordeaux/,https://www.instagram.com/lapachanga.paris/,,
Bora Club Bordeaux,"6 Rue Jean Dupas, 33100 Bordeaux",6 Rue Jean Dupas,33100 Bordeaux,Диско-клуб,05 56 86 64 31,"05 56 86 64 31, +33 5 56 86 64 31",NO,14,4.1,https://search.google.com/local/reviews?placeid=ChIJSafJhGwmVQ0Rmz7EJigUgpQ&q=night+club+in+bordeaux&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=10701137827267362459,44.828784999999996,-0.539585,,,"среда:[Закрыто], четверг:[14:30–20:00], пятница:[Закрыто], суббота:[00:00–06:00], воскресенье:[14:30–20:00], понедельник:[Закрыто], вторник:[Закрыто]",https://lh5.googleusercontent.com/p/AF1QipMe6BZWh3F1KUQAFs_u9sBitgYQ-jYSheN1H1AN=w122-h92-k-no,10701137827267362459,ChIJSafJhGwmVQ0Rmz7EJigUgpQ,/g/11ckr6l425,8CPXRFH6+G5,https://www.google.com/search?kgmid=/g/11ckr6l425,,"{""facebook"":""https://www.facebook.com/1388873418107189/""}",https://www.facebook.com/1388873418107189/,,,
L'Éclypse Discothèque,"6 Rue Jean Dupas, 33100 Bordeaux",6 Rue Jean Dupas,33100 Bordeaux,"Диско-клуб,Арт-кафе,Агентство по организации и проведению мероприятий",05 56 86 64 31,"05 56 86 64 31, +33 5 56 86 64 31",NO,303,3.7,https://search.google.com/local/reviews?placeid=ChIJ3alSfmsmVQ0RUR3qlN34MkM&q=night+club+in+bordeaux&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=4842206179946536273,44.8285865,-0.5391323,https://m.facebook.com/eclypsediscothequeofficiel,m.facebook.com,"среда:[Закрыто], четверг:[14:30–20:00], пятница:[00:00–07:00], суббота:[00:00–07:00], воскресенье:[14:30–20:00], понедельник:[14:30–20:00], вторник:[Закрыто]",https://lh5.googleusercontent.com/p/AF1QipPOjhJ5Ezj81pdKyLtdGV8qkf4t_zHCXDpXNmMi=w122-h92-k-no,4842206179946536273,ChIJ3alSfmsmVQ0RUR3qlN34MkM,/g/1td7_dkx,8CPXRFH6+C8,https://www.google.com/search?kgmid=/g/1td7_dkx,,"{""facebook"":""https://www.facebook.com/eclypseclubbordeaux/""}",https://www.facebook.com/eclypseclubbordeaux/,,,
Discothèque La Plage - Bordeaux,"40 Quai de Paludate, 33000 Bordeaux",40 Quai de Paludate,33000 Bordeaux,Ночной клуб,06 82 57 88 37,"06 82 57 88 37, +33 6 82 57 88 37",NO,800,2.2,https://search.google.com/local/reviews?placeid=ChIJKzywzkcmVQ0RLAev6oGINq4&q=night+club+in+bordeaux&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=12553371102911334188,44.828514999999996,-0.5535393,,,"среда:[00:00–06:00], четверг:[00:00–06:00], пятница:[00:00–06:00], суббота:[00:00–06:00], воскресенье:[00:00–06:00], понедельник:[00:00–06:00], вторник:[00:00–06:00]",https://lh5.googleusercontent.com/p/AF1QipOD7OhO7qRSC5lAge_QjvTcqRj4UBZE3TIQ91lb=w138-h92-k-no,12553371102911334188,ChIJKzywzkcmVQ0RLAev6oGINq4,/g/1thzq6k2,8CPXRCHW+CH,https://www.google.com/search?kgmid=/g/1thzq6k2,,"{""yelp"":""https://www.yelp.com/biz/la-plage-bordeaux"",""facebook"":""https://www.facebook.com/laplageleclub/"",""twitter"":""https://twitter.com/laplageleclub"",""youtube"":""https://www.youtube.com/user/laplageleclubtv""}",https://www.facebook.com/laplageleclub/,,https://twitter.com/laplageleclub,https://www.yelp.com/biz/la-plage-bordeaux
Black Diamond - Bordeaux,"5 Cr de l'Intendance, 33000 Bordeaux",5 Cr de l'Intendance,33000 Bordeaux,Ночной клуб,05 56 30 39 09,"05 56 30 39 09, +33 5 56 30 39 09",NO,125,2.3,https://search.google.com/local/reviews?placeid=ChIJ89e3V9onVQ0R5QINw9nx018&q=night+club+in+bordeaux&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=6905128571271709413,44.842251399999995,-0.5751104,,,"среда:[Закрыто], четверг:[12:30–05:00], пятница:[12:30–05:00], суббота:[12:30–05:00], воскресенье:[Закрыто], понедельник:[Закрыто], вторник:[Закрыто]",https://lh5.googleusercontent.com/p/AF1QipMxqri0tsKt-G_PGC2a2cRQVh1XRabKmXSeJXS0=w80-h106-k-no,6905128571271709413,ChIJ89e3V9onVQ0R5QINw9nx018,/g/12hnnkqp9,8CPXRCRF+WX,https://www.google.com/search?kgmid=/g/12hnnkqp9,,"{""facebook"":""https://www.facebook.com/blackdiamondbordeaux/""}",https://www.facebook.com/blackdiamondbordeaux/,,,
Le Monseigneur,"42 Allées d'Orléans, 33000 Bordeaux",42 Allées d'Orléans,33000 Bordeaux,Ночной клуб,06 83 54 11 36,"06 83 54 11 36, +33 6 83 54 11 36",YES,540,1.9,https://search.google.com/local/reviews?placeid=ChIJ57y7PNonVQ0R4GZ-e5zVk_c&q=night+club+in+bordeaux&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=17839837417008162528,44.843719,-0.5741583,http://www.lemonseigneur.com/,lemonseigneur.com,"среда:[00:00–07:00], четверг:[00:00–07:00], пятница:[00:00–07:00], суббота:[00:00–07:00], воскресенье:[00:00–07:00], понедельник:[00:00–07:00], вторник:[23:30–00:00]",https://lh5.googleusercontent.com/p/AF1QipNAO6RJwuBfPlv9b-hg9ykNykgiKnUx6Z7VLrdf=w210-h92-k-no,17839837417008162528,ChIJ57y7PNonVQ0R4GZ-e5zVk_c,/g/1v_0l1rn,8CPXRCVG+F8,https://www.google.com/search?kgmid=/g/1v_0l1rn,,"{""instagram"":""https://www.instagram.com/lemonseigneurbordeaux/"",""facebook"":""https://www.facebook.com/lemonseigneurbordeaux/""}",https://www.facebook.com/lemonseigneurbordeaux/,https://www.instagram.com/lemonseigneurbordeaux/,,
Club l'Entrepôt,"36 Av. du Dr Schinazi, 33300 Bordeaux",36 Av. du Dr Schinazi,33300 Bordeaux,Ночной клуб,07 82 37 33 31,"07 82 37 33 31, +33 7 82 37 33 31",YES,284,3.9,https://search.google.com/local/reviews?placeid=ChIJPXXcEN8oVQ0RlESBGErbTLs&q=night+club+in+bordeaux&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=13496403294607721620,44.883598,-0.5412648999999999,https://club-lentrepot.fr/,club-lentrepot.fr,"среда:[Закрыто], четверг:[Закрыто], пятница:[23:55–00:00], суббота:[00:00–06:00], воскресенье:[00:00–06:30], понедельник:[Закрыто], вторник:[Закрыто]",https://lh5.googleusercontent.com/p/AF1QipNrWLuD03ogQtTKGDfqMkm6MPWV2Oz1Yv9TKbtl=w163-h92-k-no,13496403294607721620,ChIJPXXcEN8oVQ0RlESBGErbTLs,/g/11b6ntflm3,8CPXVFM5+CF,https://www.google.com/search?kgmid=/g/11b6ntflm3,"salle.lentrepot@gmail.com,davy@wearerave.fr,contact@astcontact-k1.fr","{""facebook"":""https://www.facebook.com/permalink.php?story_fbid=612839937805756&id=100072392666758"",""instagram"":""https://www.instagram.com/entrepot.bordeaux/"",""youtube"":""https://youtube.com/playlist""}",https://www.facebook.com/permalink.php?story_fbid=612839937805756&id=100072392666758,https://www.instagram.com/entrepot.bordeaux/,,
OPAL club lounge,"12 Rue Sicard, 33000 Bordeaux",12 Rue Sicard,33000 Bordeaux,"Диско-клуб,Клуб",06 82 72 73 74,"06 82 72 73 74, +33 6 82 72 73 74",NO,223,3.2,https://search.google.com/local/reviews?placeid=ChIJsdC7YncoVQ0R_wb0fJx3GRk&q=night+club+in+bordeaux&authuser=0&hl=ru&gl=FR,https://www.google.com/maps?cid=1808608239360935679,44.8522128,-0.5730936999999999,https://www.facebook.com/LOpaleBordeaux/,facebook.com,"среда:[23:30–05:00], четверг:[23:30–05:00], пятница:[23:30–05:00], суббота:[23:30–05:00], воскресенье:[Закрыто], понедельник:[23:30–05:00], вторник:[23:30–05:00]",https://lh5.googleusercontent.com/p/AF1QipPvMgb5FuOHMwP7Fn9AIsXNreFSXrQZ6ZM--4MI=w122-h92-k-no,1808608239360935679,ChIJsdC7YncoVQ0R_wb0fJx3GRk,/g/11g9gvtz7w,8CPXVC2G+VQ,https://www.google.com/search?kgmid=/g/11g9gvtz7w,sabbri@laposte.net,,,,,
